2022-06-14 07:52:27,940 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-06-14 07:52:28,500 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=a6nj8vol1, creationTime=1655193148371, modificationTime=1655193148371, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-06-14 07:52:31,440 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-06-14 07:52:31,758 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=READ_VOLUME {volume=a6nj8vol1} | ret=SUCCESS |  
2022-06-14 07:52:31,845 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=CREATE_BUCKET {volume=a6nj8vol1, bucket=a6nj8default, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1655193151826, bucketEncryptionKey=null, modificationTime=1655193151826, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-06-14 07:52:34,742 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-06-14 07:52:35,063 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=READ_VOLUME {volume=a6nj8vol1} | ret=SUCCESS |  
2022-06-14 07:52:35,150 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=CREATE_BUCKET {volume=a6nj8vol1, bucket=a6nj8ratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1655193155138, bucketEncryptionKey=null, modificationTime=1655193155138, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-06-14 07:52:38,140 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-06-14 07:52:38,479 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=READ_VOLUME {volume=a6nj8vol1} | ret=SUCCESS |  
2022-06-14 07:52:38,554 | INFO  | OMAudit | user=hadoop | ip=172.23.0.9 | op=CREATE_BUCKET {volume=a6nj8vol1, bucket=a6nj8ec, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1655193158548, bucketEncryptionKey=null, modificationTime=1655193158548, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
