2022-06-14 20:13:55,507 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-14 20:13:55,508 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-14 20:13:55,508 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-14 20:13:55,548 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-06-14 20:13:56,138 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-06-14 20:13:56,349 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-06-14 20:13:56,703 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-06-14 20:13:57,027 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.7 | op=REGISTER {datanodeDetails=6e92ef31-5cfe-4650-a0bd-72ec9f2a75e9{ip: 172.22.0.7, host: 6ad8bb63b013, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-14 20:13:57,617 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=REGISTER {datanodeDetails=98b702c1-f475-4229-bd09-35f2cea936be{ip: 172.22.0.9, host: a1dab2646a1e, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-14 20:13:57,925 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.10 | op=REGISTER {datanodeDetails=ad17cb28-c374-4562-8714-fdb3f264d666{ip: 172.22.0.10, host: 0fd1b0b222a1, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-14 20:13:58,966 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6e92ef31-5cfe-4650-a0bd-72ec9f2a75e9, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d3b8b75a-8363-4db5-9af8-1e33c1b7bb65" uuid128 { mostSigBits: -3190598736612733515 leastSigBits: -7280035590002197659 } } type: RATIS factor: ONE datanode { uuid: "6e92ef31-5cfe-4650-a0bd-72ec9f2a75e9" ipAddress: "172.22.0.7" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e92ef31-5cfe-4650-a0bd-72ec9f2a75e9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7967693686064432720 leastSigBits: -6864203896434559511 } } cmdId: 1655237637137 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0d2d1b5a-d20a-4994-9979-35d35db907b3" uuid128 { mostSigBits: 949445173329938836 leastSigBits: -7387814531797809229 } } type: RATIS factor: THREE datanode { uuid: "98b702c1-f475-4229-bd09-35f2cea936be" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "98b702c1-f475-4229-bd09-35f2cea936be" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7442476827153186263 leastSigBits: -4825266208785221954 } } datanode { uuid: "6e92ef31-5cfe-4650-a0bd-72ec9f2a75e9" ipAddress: "172.22.0.7" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e92ef31-5cfe-4650-a0bd-72ec9f2a75e9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7967693686064432720 leastSigBits: -6864203896434559511 } } datanode { uuid: "ad17cb28-c374-4562-8714-fdb3f264d666" ipAddress: "172.22.0.10" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ad17cb28-c374-4562-8714-fdb3f264d666" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5974083004745366174 leastSigBits: -8713060429747399066 } } cmdId: 1655237637140 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6ed8c50b-44a1-4579-acc5-601e37e2dd64" uuid128 { mostSigBits: 7987350591328306553 leastSigBits: -5997281645871047324 } } type: RATIS factor: THREE datanode { uuid: "6e92ef31-5cfe-4650-a0bd-72ec9f2a75e9" ipAddress: "172.22.0.7" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e92ef31-5cfe-4650-a0bd-72ec9f2a75e9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7967693686064432720 leastSigBits: -6864203896434559511 } } datanode { uuid: "98b702c1-f475-4229-bd09-35f2cea936be" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "98b702c1-f475-4229-bd09-35f2cea936be" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7442476827153186263 leastSigBits: -4825266208785221954 } } datanode { uuid: "ad17cb28-c374-4562-8714-fdb3f264d666" ipAddress: "172.22.0.10" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ad17cb28-c374-4562-8714-fdb3f264d666" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5974083004745366174 leastSigBits: -8713060429747399066 } } cmdId: 1655237637141 priority: 0 priority: 0 priority: 1 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
