2022-07-27 17:06:47,397 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=REGISTER {datanodeDetails=dd4f4c18-b0f2-4627-97f7-e880a7e9413f{ip: 172.20.0.3, host: d88874f3d955, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2022-07-27 17:06:47,880 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=REGISTER {datanodeDetails=f72e87be-53df-452a-bfe9-887a11e1dc0f{ip: 172.20.0.6, host: 9a36933ee185, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2022-07-27 17:06:47,973 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=REGISTER {datanodeDetails=93596bfc-0e59-4395-a71b-5bc28b3adb9d{ip: 172.20.0.5, host: 79acb92ee6ae, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2022-07-27 17:06:49,340 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "2c5ba107-20b6-49e5-96e0-bc18fe113294" uuid128 { mostSigBits: 3196325412535159269 leastSigBits: -7574847757709397356 } } type: RATIS factor: ONE datanode { uuid: "dd4f4c18-b0f2-4627-97f7-e880a7e9413f" ipAddress: "172.20.0.3" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "dd4f4c18-b0f2-4627-97f7-e880a7e9413f" networkLocation: "/default-rack" uuid128 { mostSigBits: -2499695599235742169 leastSigBits: -7496267415464361665 } } cmdId: 1658941607393 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0c883c9f-92cc-47f3-978a-970931828772" uuid128 { mostSigBits: 903038381348112371 leastSigBits: -7527037761455224974 } } type: RATIS factor: THREE datanode { uuid: "dd4f4c18-b0f2-4627-97f7-e880a7e9413f" ipAddress: "172.20.0.3" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "dd4f4c18-b0f2-4627-97f7-e880a7e9413f" networkLocation: "/default-rack" uuid128 { mostSigBits: -2499695599235742169 leastSigBits: -7496267415464361665 } } datanode { uuid: "93596bfc-0e59-4395-a71b-5bc28b3adb9d" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "93596bfc-0e59-4395-a71b-5bc28b3adb9d" networkLocation: "/default-rack" uuid128 { mostSigBits: -7829107746890234987 leastSigBits: -6405425153886725219 } } datanode { uuid: "f72e87be-53df-452a-bfe9-887a11e1dc0f" ipAddress: "172.20.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f72e87be-53df-452a-bfe9-887a11e1dc0f" networkLocation: "/default-rack" uuid128 { mostSigBits: -635421245891984086 leastSigBits: -4618009885024330737 } } cmdId: 1658941607396 } ]} | ret=SUCCESS |  
2022-07-27 17:06:49,910 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f72e87be-53df-452a-bfe9-887a11e1dc0f, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e5c57089-3912-400d-8910-c827706ae1df" uuid128 { mostSigBits: -1889980733941727219 leastSigBits: -8570130019170721313 } } type: RATIS factor: ONE datanode { uuid: "f72e87be-53df-452a-bfe9-887a11e1dc0f" ipAddress: "172.20.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f72e87be-53df-452a-bfe9-887a11e1dc0f" networkLocation: "/default-rack" uuid128 { mostSigBits: -635421245891984086 leastSigBits: -4618009885024330737 } } cmdId: 1658941607394 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0c883c9f-92cc-47f3-978a-970931828772" uuid128 { mostSigBits: 903038381348112371 leastSigBits: -7527037761455224974 } } type: RATIS factor: THREE datanode { uuid: "dd4f4c18-b0f2-4627-97f7-e880a7e9413f" ipAddress: "172.20.0.3" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "dd4f4c18-b0f2-4627-97f7-e880a7e9413f" networkLocation: "/default-rack" uuid128 { mostSigBits: -2499695599235742169 leastSigBits: -7496267415464361665 } } datanode { uuid: "93596bfc-0e59-4395-a71b-5bc28b3adb9d" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "93596bfc-0e59-4395-a71b-5bc28b3adb9d" networkLocation: "/default-rack" uuid128 { mostSigBits: -7829107746890234987 leastSigBits: -6405425153886725219 } } datanode { uuid: "f72e87be-53df-452a-bfe9-887a11e1dc0f" ipAddress: "172.20.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f72e87be-53df-452a-bfe9-887a11e1dc0f" networkLocation: "/default-rack" uuid128 { mostSigBits: -635421245891984086 leastSigBits: -4618009885024330737 } } cmdId: 1658941607396 } ]} | ret=SUCCESS |  
2022-07-27 17:06:50,016 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=93596bfc-0e59-4395-a71b-5bc28b3adb9d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b451a46a-4446-4e94-89c2-200623c44b8e" uuid128 { mostSigBits: -5453396897450013036 leastSigBits: -8520212334289597554 } } type: RATIS factor: ONE datanode { uuid: "93596bfc-0e59-4395-a71b-5bc28b3adb9d" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "93596bfc-0e59-4395-a71b-5bc28b3adb9d" networkLocation: "/default-rack" uuid128 { mostSigBits: -7829107746890234987 leastSigBits: -6405425153886725219 } } cmdId: 1658941607395 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0c883c9f-92cc-47f3-978a-970931828772" uuid128 { mostSigBits: 903038381348112371 leastSigBits: -7527037761455224974 } } type: RATIS factor: THREE datanode { uuid: "dd4f4c18-b0f2-4627-97f7-e880a7e9413f" ipAddress: "172.20.0.3" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "dd4f4c18-b0f2-4627-97f7-e880a7e9413f" networkLocation: "/default-rack" uuid128 { mostSigBits: -2499695599235742169 leastSigBits: -7496267415464361665 } } datanode { uuid: "93596bfc-0e59-4395-a71b-5bc28b3adb9d" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "93596bfc-0e59-4395-a71b-5bc28b3adb9d" networkLocation: "/default-rack" uuid128 { mostSigBits: -7829107746890234987 leastSigBits: -6405425153886725219 } } datanode { uuid: "f72e87be-53df-452a-bfe9-887a11e1dc0f" ipAddress: "172.20.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f72e87be-53df-452a-bfe9-887a11e1dc0f" networkLocation: "/default-rack" uuid128 { mostSigBits: -635421245891984086 leastSigBits: -4618009885024330737 } } cmdId: 1658941607396 } ]} | ret=SUCCESS |  
2022-07-27 17:06:50,354 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[]} | ret=SUCCESS |  
2022-07-27 17:06:50,551 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=dd4f4c18-b0f2-4627-97f7-e880a7e9413f, command=[]} | ret=SUCCESS |  
2022-07-27 17:06:51,056 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f72e87be-53df-452a-bfe9-887a11e1dc0f, command=[]} | ret=SUCCESS |  
2022-07-27 17:06:51,268 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=93596bfc-0e59-4395-a71b-5bc28b3adb9d, command=[]} | ret=SUCCESS |  
2022-07-27 17:06:51,347 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f72e87be-53df-452a-bfe9-887a11e1dc0f, command=[]} | ret=SUCCESS |  
