2022-12-16 10:37:50,293 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2022-12-16 10:37:50,295 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2022-12-16 10:37:50,295 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2022-12-16 10:37:50,296 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-12-16 10:37:50,296 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-12-16 10:37:50,630 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-12-16 10:37:50,913 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-12-16 10:37:52,478 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=REGISTER {datanodeDetails=070bb8cd-0c60-4fca-a31d-4bb2b64fc648{ip: 172.19.0.6, host: 90c9641f9779, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-12-16 10:37:52,753 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=REGISTER {datanodeDetails=07aaf5ad-b5f4-4ee8-a50a-099d0a070e95{ip: 172.19.0.3, host: d4add5d5656a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-12-16 10:37:52,770 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=REGISTER {datanodeDetails=c9b3cdf3-3594-4c0b-b4c9-eb4ff8569f34{ip: 172.19.0.2, host: 3453d24e571d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-12-16 10:37:54,518 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=070bb8cd-0c60-4fca-a31d-4bb2b64fc648, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c4561d20-a5ba-4a2b-abf2-33ae55a50172" uuid128 { mostSigBits: -4299216768221951445 leastSigBits: -6056721725005692558 } } type: RATIS factor: ONE datanode { uuid: "070bb8cd-0c60-4fca-a31d-4bb2b64fc648" ipAddress: "172.19.0.6" hostName: "ozones3-haproxy_datanode_3.ozones3-haproxy_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "070bb8cd-0c60-4fca-a31d-4bb2b64fc648" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 507702573824757706 leastSigBits: -6693110240267745720 } } cmdId: 1671187072509 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cf5d1b46-ab6e-42c5-a7d6-7abf694ed8fe" uuid128 { mostSigBits: -3504614944686587195 leastSigBits: -6352755261835388674 } } type: RATIS factor: THREE datanode { uuid: "c9b3cdf3-3594-4c0b-b4c9-eb4ff8569f34" ipAddress: "172.19.0.2" hostName: "ozones3-haproxy_datanode_1.ozones3-haproxy_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c9b3cdf3-3594-4c0b-b4c9-eb4ff8569f34" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3912557206795170805 leastSigBits: -5419541947862311116 } } datanode { uuid: "07aaf5ad-b5f4-4ee8-a50a-099d0a070e95" ipAddress: "172.19.0.3" hostName: "ozones3-haproxy_datanode_2.ozones3-haproxy_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "07aaf5ad-b5f4-4ee8-a50a-099d0a070e95" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 552524030737141480 leastSigBits: -6554415737601585515 } } datanode { uuid: "070bb8cd-0c60-4fca-a31d-4bb2b64fc648" ipAddress: "172.19.0.6" hostName: "ozones3-haproxy_datanode_3.ozones3-haproxy_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "070bb8cd-0c60-4fca-a31d-4bb2b64fc648" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 507702573824757706 leastSigBits: -6693110240267745720 } } cmdId: 1671187072510 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cf1d0bdf-cb32-4d85-8fa6-16d94fffd7d4" uuid128 { mostSigBits: -3522646277719175803 leastSigBits: -8095758157546006572 } } type: RATIS factor: THREE datanode { uuid: "c9b3cdf3-3594-4c0b-b4c9-eb4ff8569f34" ipAddress: "172.19.0.2" hostName: "ozones3-haproxy_datanode_1.ozones3-haproxy_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c9b3cdf3-3594-4c0b-b4c9-eb4ff8569f34" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3912557206795170805 leastSigBits: -5419541947862311116 } } datanode { uuid: "070bb8cd-0c60-4fca-a31d-4bb2b64fc648" ipAddress: "172.19.0.6" hostName: "ozones3-haproxy_datanode_3.ozones3-haproxy_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "070bb8cd-0c60-4fca-a31d-4bb2b64fc648" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 507702573824757706 leastSigBits: -6693110240267745720 } } datanode { uuid: "07aaf5ad-b5f4-4ee8-a50a-099d0a070e95" ipAddress: "172.19.0.3" hostName: "ozones3-haproxy_datanode_2.ozones3-haproxy_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "07aaf5ad-b5f4-4ee8-a50a-099d0a070e95" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 552524030737141480 leastSigBits: -6554415737601585515 } } cmdId: 1671187072512 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
