2023-01-06 03:33:45,279 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-06 03:33:45,279 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-06 03:33:45,279 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-06 03:33:45,281 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-06 03:33:45,283 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-06 03:33:46,215 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=2523e88e-b30c-4126-acae-10dc0d57fffb{ip: 172.18.0.4, host: fe869be49d42, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-01-06 03:33:46,455 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=4230398d-a1bc-4ebc-b9f5-3bd8012f188b{ip: 172.18.0.10, host: 48535b3651ed, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-01-06 03:33:47,225 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-01-06 03:33:47,580 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {datanodeDetails=d58c2887-f1c8-4b8a-bdd2-eb98f1753b1d{ip: 172.18.0.11, host: 97aa3fdfa2b6, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-01-06 03:33:48,279 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=2523e88e-b30c-4126-acae-10dc0d57fffb, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c73717fa-16a0-478e-99fd-79a03d2fa53c" uuid128 { mostSigBits: -4091775373553940594 leastSigBits: -7350585287670520516 } } type: RATIS factor: ONE datanode { uuid: "2523e88e-b30c-4126-acae-10dc0d57fffb" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2523e88e-b30c-4126-acae-10dc0d57fffb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2676238303175131430 leastSigBits: -6003842715935571973 } } cmdId: 1672976026223 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0ed7c34e-8996-4661-a8cb-eba711f018b4" uuid128 { mostSigBits: 1069538178606974561 leastSigBits: -6283669752272381772 } } type: RATIS factor: THREE datanode { uuid: "2523e88e-b30c-4126-acae-10dc0d57fffb" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2523e88e-b30c-4126-acae-10dc0d57fffb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2676238303175131430 leastSigBits: -6003842715935571973 } } datanode { uuid: "d58c2887-f1c8-4b8a-bdd2-eb98f1753b1d" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d58c2887-f1c8-4b8a-bdd2-eb98f1753b1d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3059025482549277814 leastSigBits: -4768490013313385699 } } datanode { uuid: "4230398d-a1bc-4ebc-b9f5-3bd8012f188b" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4230398d-a1bc-4ebc-b9f5-3bd8012f188b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4769375285851999932 leastSigBits: -5047062008479934325 } } cmdId: 1672976026226 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-01-06 03:33:48,439 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4230398d-a1bc-4ebc-b9f5-3bd8012f188b, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "630d8f20-d7b3-4a0e-8ed5-e4b927435e6f" uuid128 { mostSigBits: 7137518355672680974 leastSigBits: -8154360066405605777 } } type: RATIS factor: ONE datanode { uuid: "4230398d-a1bc-4ebc-b9f5-3bd8012f188b" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4230398d-a1bc-4ebc-b9f5-3bd8012f188b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4769375285851999932 leastSigBits: -5047062008479934325 } } cmdId: 1672976026224 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0ed7c34e-8996-4661-a8cb-eba711f018b4" uuid128 { mostSigBits: 1069538178606974561 leastSigBits: -6283669752272381772 } } type: RATIS factor: THREE datanode { uuid: "2523e88e-b30c-4126-acae-10dc0d57fffb" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2523e88e-b30c-4126-acae-10dc0d57fffb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2676238303175131430 leastSigBits: -6003842715935571973 } } datanode { uuid: "d58c2887-f1c8-4b8a-bdd2-eb98f1753b1d" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d58c2887-f1c8-4b8a-bdd2-eb98f1753b1d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3059025482549277814 leastSigBits: -4768490013313385699 } } datanode { uuid: "4230398d-a1bc-4ebc-b9f5-3bd8012f188b" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4230398d-a1bc-4ebc-b9f5-3bd8012f188b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4769375285851999932 leastSigBits: -5047062008479934325 } } cmdId: 1672976026226 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
