2023-01-09 03:04:49,893 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.18.0.9 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-01-09 03:04:50,834 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.6 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-01-09 03:05:20,859 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.18.0.9 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-01-09 03:05:21,469 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-09 03:05:21,543 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-09 03:05:21,873 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-09 03:05:24,834 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.5 | op=REGISTER {datanodeDetails=1e2c6e92-d2bf-4206-94de-701a9a9a69e4{ip: 172.18.0.5, host: 4b9e3ca9c2b7, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, RATIS_DATASTREAM=9855, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 441734956040, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-01-09 03:05:25,132 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.10 | op=REGISTER {datanodeDetails=e896b016-58af-4f65-8b67-fb20140a19e8{ip: 172.18.0.10, host: 65cbb2e271ba, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, RATIS_DATASTREAM=9855, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 440963253963, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-01-09 03:05:26,208 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=REGISTER {datanodeDetails=33a0086c-203e-47eb-abc4-fbc16710e25d{ip: 172.18.0.8, host: 015f0a286523, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, RATIS_DATASTREAM=9855, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 442245327297, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-01-09 03:05:28,357 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=1e2c6e92-d2bf-4206-94de-701a9a9a69e4, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a16fef00-38c2-4529-ba2f-21c1f84c14a3" uuid128 { mostSigBits: -6813964926956976855 leastSigBits: -5030765141771414365 } } type: RATIS factor: ONE datanode { uuid: "1e2c6e92-d2bf-4206-94de-701a9a9a69e4" ipAddress: "172.18.0.5" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "1e2c6e92-d2bf-4206-94de-701a9a9a69e4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2174234296993137158 leastSigBits: -7719609451701179932 } } cmdId: 1673233524699 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-01-09 03:05:28,381 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=33a0086c-203e-47eb-abc4-fbc16710e25d, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "57f410a6-8b68-4a7c-b00c-af4fdceb0e27" uuid128 { mostSigBits: 6337708883106613884 leastSigBits: -5761037065770037721 } } type: RATIS factor: ONE datanode { uuid: "33a0086c-203e-47eb-abc4-fbc16710e25d" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "33a0086c-203e-47eb-abc4-fbc16710e25d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3719982552698472427 leastSigBits: -6069449589712166307 } } cmdId: 1673233524701 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "7b23c9cb-273f-4f9d-bbee-fd9b46059801" uuid128 { mostSigBits: 8873157565224013725 leastSigBits: -4904704100823361535 } } type: RATIS factor: THREE datanode { uuid: "1e2c6e92-d2bf-4206-94de-701a9a9a69e4" ipAddress: "172.18.0.5" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "1e2c6e92-d2bf-4206-94de-701a9a9a69e4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2174234296993137158 leastSigBits: -7719609451701179932 } } datanode { uuid: "e896b016-58af-4f65-8b67-fb20140a19e8" ipAddress: "172.18.0.10" hostName: "ozonesecure_datanode_2.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "e896b016-58af-4f65-8b67-fb20140a19e8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1686967400380018843 leastSigBits: -8401470464642639384 } } datanode { uuid: "33a0086c-203e-47eb-abc4-fbc16710e25d" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "33a0086c-203e-47eb-abc4-fbc16710e25d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3719982552698472427 leastSigBits: -6069449589712166307 } } cmdId: 1673233524702 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
