2023-01-12 05:26:00,040 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-12 05:26:00,034 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-12 05:26:00,031 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-12 05:26:00,034 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-12 05:26:00,085 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-12 05:26:00,086 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-12 05:26:00,100 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-01-12 05:26:00,769 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=f23956f4-f232-4ae2-8f3e-cd8efc9f95bf(ozone-ha_datanode_1.ozone-ha_default/172.18.0.6)} | ret=SUCCESS |  
2023-01-12 05:26:03,424 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=cefdd7f0-5c68-4866-b1db-ab1e8bc5045a(ozone-ha_datanode_3.ozone-ha_default/172.18.0.4)} | ret=SUCCESS |  
2023-01-12 05:26:03,747 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {datanodeDetails=34efb4e4-4ba1-4b8b-9eea-b948a0e8a25b(ozone-ha_datanode_2.ozone-ha_default/172.18.0.11)} | ret=SUCCESS |  
2023-01-12 05:26:04,854 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f23956f4-f232-4ae2-8f3e-cd8efc9f95bf, command=[]} | ret=SUCCESS |  
