2023-02-03 02:10:35,994 | INFO  | OMAudit | user=hadoop | ip=172.19.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:10:40,997 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:10:41,617 | ERROR | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_VOLUME {volume=no-such-volume} | ret=FAILURE | VOLUME_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Volume no-such-volume is not found
	at org.apache.hadoop.ozone.om.VolumeManagerImpl.getVolumeInfo(VolumeManagerImpl.java:61)
	at org.apache.hadoop.ozone.om.OzoneManager.getVolumeInfo(OzoneManager.java:2517) 
2023-02-03 02:10:46,729 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:10:47,565 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol1, creationTime=1675390247347, modificationTime=1675390247347, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-02-03 02:10:52,790 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:10:53,474 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2023-02-03 02:10:53,528 | ERROR | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_BUCKET {volume=vol1, bucket=no-such-bucket} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not found
	at org.apache.hadoop.ozone.om.BucketManagerImpl.getBucketInfo(BucketManagerImpl.java:79)
	at org.apache.hadoop.ozone.om.OzoneManager.getBucketInfo(OzoneManager.java:2703) 
2023-02-03 02:10:59,084 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:10:59,769 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2023-02-03 02:10:59,882 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=CREATE_BUCKET {volume=vol1, bucket=bucket, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1675390259859, bucketEncryptionKey=null, modificationTime=1675390259859, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-02-03 02:11:05,259 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:11:05,909 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2023-02-03 02:11:05,940 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_BUCKET {volume=vol1, bucket=bucket} | ret=SUCCESS |  
2023-02-03 02:11:26,219 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:11:26,755 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2023-02-03 02:11:26,780 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_BUCKET {volume=vol1, bucket=bucket} | ret=SUCCESS |  
2023-02-03 02:11:26,870 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_BUCKET {volume=vol1, bucket=bucket} | ret=SUCCESS |  
2023-02-03 02:11:27,465 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket, key=passwd, dataSize=946, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-02-03 02:11:32,520 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=COMMIT_KEY {volume=vol1, bucket=bucket, key=passwd, dataSize=946, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-02-03 02:11:38,381 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:11:39,465 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2023-02-03 02:11:39,507 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_BUCKET {volume=vol1, bucket=bucket} | ret=SUCCESS |  
2023-02-03 02:11:39,865 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_KEY {volume=vol1, bucket=bucket, key=passwd, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2023-02-03 02:11:48,499 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:11:49,180 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2023-02-03 02:11:49,213 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_BUCKET {volume=vol1, bucket=bucket} | ret=SUCCESS |  
2023-02-03 02:11:49,249 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_KEY {volume=vol1, bucket=bucket, key=passwd, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2023-02-03 02:11:57,111 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:11:57,816 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2023-02-03 02:11:57,881 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_BUCKET {volume=vol1, bucket=bucket} | ret=SUCCESS |  
2023-02-03 02:11:57,945 | INFO  | OMAudit | user=hadoop | ip=172.19.0.7 | op=READ_KEY {volume=vol1, bucket=bucket, key=passwd, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2023-02-03 02:12:13,291 | INFO  | OMAudit | user=hadoop | ip=172.19.0.5 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-02-03 02:12:13,752 | INFO  | OMAudit | user=hadoop | ip=172.19.0.5 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2023-02-03 02:12:13,835 | INFO  | OMAudit | user=hadoop | ip=172.19.0.5 | op=CREATE_BUCKET {volume=vol1, bucket=auditparser0, bucketLayout=LEGACY, gdprEnabled=null, acls=[], isVersionEnabled=false, storageType=DISK, creationTime=1675390333829, bucketEncryptionKey=null, modificationTime=1675390333829, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-02-03 02:12:13,848 | INFO  | OMAudit | user=hadoop | ip=172.19.0.5 | op=CREATE_BUCKET {volume=vol1, bucket=auditparser1, bucketLayout=LEGACY, gdprEnabled=null, acls=[], isVersionEnabled=false, storageType=DISK, creationTime=1675390333844, bucketEncryptionKey=null, modificationTime=1675390333844, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-02-03 02:12:13,860 | INFO  | OMAudit | user=hadoop | ip=172.19.0.5 | op=CREATE_BUCKET {volume=vol1, bucket=auditparser2, bucketLayout=LEGACY, gdprEnabled=null, acls=[], isVersionEnabled=false, storageType=DISK, creationTime=1675390333854, bucketEncryptionKey=null, modificationTime=1675390333854, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
