2023-03-09 19:44:24,021 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-09 19:44:23,989 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-09 19:44:23,989 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-09 19:44:23,997 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-09 19:44:23,997 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-09 19:44:23,989 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-09 19:44:24,847 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=79781697-0735-47b3-b85b-29a47247b41c(e7a644873fe3/172.18.0.4)} | ret=SUCCESS |  
2023-03-09 19:44:25,022 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=e043fd34-ecbe-47c9-ad15-5e2e6df970d0(0ae83c2a69a2/172.18.0.6)} | ret=SUCCESS |  
2023-03-09 19:44:25,408 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-03-09 19:44:25,763 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-03-09 19:44:26,227 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=205f1ebe-b6ed-41a9-bd39-b11b116125ec(c18b5794c825/172.18.0.9)} | ret=SUCCESS |  
