2023-03-10 23:07:12,039 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=REGISTER {datanodeDetails=ce301eec-0608-4941-8023-90785189333f{ip: 172.20.0.7, host: 9ddfe75efc7c, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-03-10 23:07:12,378 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=REGISTER {datanodeDetails=62e721a4-58d1-45b8-8177-bcc3c77ea60e{ip: 172.20.0.11, host: 6fd87e5d994a, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-03-10 23:07:12,791 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=REGISTER {datanodeDetails=58d29781-649b-4add-b044-35af1f6e1525{ip: 172.20.0.8, host: 78e649147eea, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-03-10 23:07:14,245 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b66d6530-f14f-4bc6-b848-180aaac358b4" uuid128 { mostSigBits: -5301469925463864378 leastSigBits: -5167854138313975628 } } type: RATIS factor: ONE datanode { uuid: "ce301eec-0608-4941-8023-90785189333f" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "ce301eec-0608-4941-8023-90785189333f" networkLocation: "/default-rack" uuid128 { mostSigBits: -3589334903951963839 leastSigBits: -9213361566231481537 } } cmdId: 1678489632040 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "80da268b-4681-412b-8a2a-85f9127e983d" uuid128 { mostSigBits: -9161968112306667221 leastSigBits: -8490826842650011587 } } type: RATIS factor: THREE datanode { uuid: "58d29781-649b-4add-b044-35af1f6e1525" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "58d29781-649b-4add-b044-35af1f6e1525" networkLocation: "/default-rack" uuid128 { mostSigBits: 6400344602441370333 leastSigBits: -5745408198355053275 } } datanode { uuid: "ce301eec-0608-4941-8023-90785189333f" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "ce301eec-0608-4941-8023-90785189333f" networkLocation: "/default-rack" uuid128 { mostSigBits: -3589334903951963839 leastSigBits: -9213361566231481537 } } datanode { uuid: "62e721a4-58d1-45b8-8177-bcc3c77ea60e" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "62e721a4-58d1-45b8-8177-bcc3c77ea60e" networkLocation: "/default-rack" uuid128 { mostSigBits: 7126701925085562296 leastSigBits: -9117611371536669170 } } cmdId: 1678489632043 } ]} | ret=SUCCESS |  
2023-03-10 23:07:14,474 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=62e721a4-58d1-45b8-8177-bcc3c77ea60e, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "bfdbee19-01d5-4c6e-8e97-bb1a76a49524" uuid128 { mostSigBits: -4621838801393333138 leastSigBits: -8171857276506434268 } } type: RATIS factor: ONE datanode { uuid: "62e721a4-58d1-45b8-8177-bcc3c77ea60e" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "62e721a4-58d1-45b8-8177-bcc3c77ea60e" networkLocation: "/default-rack" uuid128 { mostSigBits: 7126701925085562296 leastSigBits: -9117611371536669170 } } cmdId: 1678489632041 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "80da268b-4681-412b-8a2a-85f9127e983d" uuid128 { mostSigBits: -9161968112306667221 leastSigBits: -8490826842650011587 } } type: RATIS factor: THREE datanode { uuid: "58d29781-649b-4add-b044-35af1f6e1525" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "58d29781-649b-4add-b044-35af1f6e1525" networkLocation: "/default-rack" uuid128 { mostSigBits: 6400344602441370333 leastSigBits: -5745408198355053275 } } datanode { uuid: "ce301eec-0608-4941-8023-90785189333f" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "ce301eec-0608-4941-8023-90785189333f" networkLocation: "/default-rack" uuid128 { mostSigBits: -3589334903951963839 leastSigBits: -9213361566231481537 } } datanode { uuid: "62e721a4-58d1-45b8-8177-bcc3c77ea60e" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "62e721a4-58d1-45b8-8177-bcc3c77ea60e" networkLocation: "/default-rack" uuid128 { mostSigBits: 7126701925085562296 leastSigBits: -9117611371536669170 } } cmdId: 1678489632043 } ]} | ret=SUCCESS |  
2023-03-10 23:07:14,923 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=58d29781-649b-4add-b044-35af1f6e1525, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "7746d5c9-b75a-4460-a9e9-ee6bda7c87bb" uuid128 { mostSigBits: 8594792001224459360 leastSigBits: -6203164864731641925 } } type: RATIS factor: ONE datanode { uuid: "58d29781-649b-4add-b044-35af1f6e1525" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "58d29781-649b-4add-b044-35af1f6e1525" networkLocation: "/default-rack" uuid128 { mostSigBits: 6400344602441370333 leastSigBits: -5745408198355053275 } } cmdId: 1678489632042 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "80da268b-4681-412b-8a2a-85f9127e983d" uuid128 { mostSigBits: -9161968112306667221 leastSigBits: -8490826842650011587 } } type: RATIS factor: THREE datanode { uuid: "58d29781-649b-4add-b044-35af1f6e1525" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "58d29781-649b-4add-b044-35af1f6e1525" networkLocation: "/default-rack" uuid128 { mostSigBits: 6400344602441370333 leastSigBits: -5745408198355053275 } } datanode { uuid: "ce301eec-0608-4941-8023-90785189333f" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "ce301eec-0608-4941-8023-90785189333f" networkLocation: "/default-rack" uuid128 { mostSigBits: -3589334903951963839 leastSigBits: -9213361566231481537 } } datanode { uuid: "62e721a4-58d1-45b8-8177-bcc3c77ea60e" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "62e721a4-58d1-45b8-8177-bcc3c77ea60e" networkLocation: "/default-rack" uuid128 { mostSigBits: 7126701925085562296 leastSigBits: -9117611371536669170 } } cmdId: 1678489632043 } ]} | ret=SUCCESS |  
2023-03-10 23:07:15,090 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:15,258 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:15,545 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=62e721a4-58d1-45b8-8177-bcc3c77ea60e, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:15,852 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=62e721a4-58d1-45b8-8177-bcc3c77ea60e, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:15,984 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=58d29781-649b-4add-b044-35af1f6e1525, command=[]} | ret=SUCCESS |  
