2023-03-16 14:58:01,528 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:01,532 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:10,566 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:10,874 | ERROR | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=FAILURE | VOLUME_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Volume 45744-without-scheme is not found
	at org.apache.hadoop.ozone.om.VolumeManagerImpl.getVolumeInfo(VolumeManagerImpl.java:61)
	at org.apache.hadoop.ozone.om.OzoneManager.getVolumeInfo(OzoneManager.java:2588) 
2023-03-16 14:58:15,892 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:16,623 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=45744-without-scheme, creationTime=1678978696379, modificationTime=1678978696379, quotaInBytes=109951162777600, quotaInNamespace=100, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-03-16 14:58:21,954 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:22,246 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=LIST_VOLUMES {prevKey=, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2023-03-16 14:58:23,026 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=LIST_VOLUMES {prevKey=45744-without-scheme, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2023-03-16 14:58:28,436 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:28,794 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=LIST_VOLUMES {prevKey=, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2023-03-16 14:58:29,397 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=LIST_VOLUMES {prevKey=45744-without-scheme, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2023-03-16 14:58:34,491 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:34,825 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:58:34,850 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:58:34,889 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=SET_QUOTA {volume=45744-without-scheme, quotaInBytes=10995116277760} | ret=SUCCESS |  
2023-03-16 14:58:39,888 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:40,344 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:58:45,913 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:46,259 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:58:46,412 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=CREATE_BUCKET {volume=45744-without-scheme, bucket=bb1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1678978726359, bucketEncryptionKey=null, modificationTime=1678978726359, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-03-16 14:58:51,829 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:52,174 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:58:52,201 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_BUCKET {volume=45744-without-scheme, bucket=bb1} | ret=SUCCESS |  
2023-03-16 14:58:58,503 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:58:58,867 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:58:58,891 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_BUCKET {volume=45744-without-scheme, bucket=bb1} | ret=SUCCESS |  
2023-03-16 14:59:04,888 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:59:05,320 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:59:05,342 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_BUCKET {volume=45744-without-scheme, bucket=bb1} | ret=SUCCESS |  
2023-03-16 14:59:11,356 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:59:11,646 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:59:11,668 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_BUCKET {volume=45744-without-scheme, bucket=bb1} | ret=SUCCESS |  
2023-03-16 14:59:11,717 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_BUCKET {volume=45744-without-scheme, bucket=bb1} | ret=SUCCESS |  
2023-03-16 14:59:11,760 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=UPDATE_BUCKET {volume=45744-without-scheme, bucket=bb1, gdprEnabled=null, isVersionEnabled=null} | ret=SUCCESS |  
2023-03-16 14:59:16,781 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-03-16 14:59:17,119 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_VOLUME {volume=45744-without-scheme} | ret=SUCCESS |  
2023-03-16 14:59:17,138 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=READ_BUCKET {volume=45744-without-scheme, bucket=bb1} | ret=SUCCESS |  
2023-03-16 14:59:23,688 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
