2023-03-18 09:33:54,442 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=REGISTER {datanodeDetails=72e1e144-bd84-4182-be8e-0cf784bfbc4a{ip: 172.20.0.10, host: 428bb24709ee, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-03-18 09:33:54,476 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=REGISTER {datanodeDetails=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da{ip: 172.20.0.7, host: 57e6e075330b, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-03-18 09:33:54,519 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=REGISTER {datanodeDetails=aac7026c-7b2d-49d0-8662-f33d390fa161{ip: 172.20.0.8, host: 09302727643d, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-03-18 09:33:56,150 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a8b0be97-c0b0-4881-8c05-91ff7aa32fff" uuid128 { mostSigBits: -6291319120454465407 leastSigBits: -8357113007055884289 } } type: RATIS factor: ONE datanode { uuid: "72e1e144-bd84-4182-be8e-0cf784bfbc4a" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "72e1e144-bd84-4182-be8e-0cf784bfbc4a" networkLocation: "/default-rack" uuid128 { mostSigBits: 8278145275437269378 leastSigBits: -4715817502586717110 } } cmdId: 1679132034334 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "65321c09-0def-4c6b-a5c1-7e73c0c93a90" uuid128 { mostSigBits: 7291921571880324203 leastSigBits: -6502777351325533552 } } type: RATIS factor: THREE datanode { uuid: "aac7026c-7b2d-49d0-8662-f33d390fa161" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "aac7026c-7b2d-49d0-8662-f33d390fa161" networkLocation: "/default-rack" uuid128 { mostSigBits: -6140936901950092848 leastSigBits: -8763174480633683615 } } datanode { uuid: "c79a2e1f-6eaf-44d9-8a19-ac9bef1233da" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "c79a2e1f-6eaf-44d9-8a19-ac9bef1233da" networkLocation: "/default-rack" uuid128 { mostSigBits: -4063885001212607271 leastSigBits: -8495569436326874150 } } datanode { uuid: "72e1e144-bd84-4182-be8e-0cf784bfbc4a" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "72e1e144-bd84-4182-be8e-0cf784bfbc4a" networkLocation: "/default-rack" uuid128 { mostSigBits: 8278145275437269378 leastSigBits: -4715817502586717110 } } cmdId: 1679132034337 } ]} | ret=SUCCESS |  
2023-03-18 09:33:56,406 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "60f9e102-abfc-4c3d-ac24-19eddf6374ae" uuid128 { mostSigBits: 6987863698433657917 leastSigBits: -6042676290578582354 } } type: RATIS factor: ONE datanode { uuid: "c79a2e1f-6eaf-44d9-8a19-ac9bef1233da" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "c79a2e1f-6eaf-44d9-8a19-ac9bef1233da" networkLocation: "/default-rack" uuid128 { mostSigBits: -4063885001212607271 leastSigBits: -8495569436326874150 } } cmdId: 1679132034335 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "65321c09-0def-4c6b-a5c1-7e73c0c93a90" uuid128 { mostSigBits: 7291921571880324203 leastSigBits: -6502777351325533552 } } type: RATIS factor: THREE datanode { uuid: "aac7026c-7b2d-49d0-8662-f33d390fa161" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "aac7026c-7b2d-49d0-8662-f33d390fa161" networkLocation: "/default-rack" uuid128 { mostSigBits: -6140936901950092848 leastSigBits: -8763174480633683615 } } datanode { uuid: "c79a2e1f-6eaf-44d9-8a19-ac9bef1233da" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "c79a2e1f-6eaf-44d9-8a19-ac9bef1233da" networkLocation: "/default-rack" uuid128 { mostSigBits: -4063885001212607271 leastSigBits: -8495569436326874150 } } datanode { uuid: "72e1e144-bd84-4182-be8e-0cf784bfbc4a" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "72e1e144-bd84-4182-be8e-0cf784bfbc4a" networkLocation: "/default-rack" uuid128 { mostSigBits: 8278145275437269378 leastSigBits: -4715817502586717110 } } cmdId: 1679132034337 } ]} | ret=SUCCESS |  
2023-03-18 09:33:56,517 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aac7026c-7b2d-49d0-8662-f33d390fa161, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a1b72783-5f11-4620-90ac-af74d36be89d" uuid128 { mostSigBits: -6793918067675937248 leastSigBits: -8021843919955564387 } } type: RATIS factor: ONE datanode { uuid: "aac7026c-7b2d-49d0-8662-f33d390fa161" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "aac7026c-7b2d-49d0-8662-f33d390fa161" networkLocation: "/default-rack" uuid128 { mostSigBits: -6140936901950092848 leastSigBits: -8763174480633683615 } } cmdId: 1679132034336 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "65321c09-0def-4c6b-a5c1-7e73c0c93a90" uuid128 { mostSigBits: 7291921571880324203 leastSigBits: -6502777351325533552 } } type: RATIS factor: THREE datanode { uuid: "aac7026c-7b2d-49d0-8662-f33d390fa161" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "aac7026c-7b2d-49d0-8662-f33d390fa161" networkLocation: "/default-rack" uuid128 { mostSigBits: -6140936901950092848 leastSigBits: -8763174480633683615 } } datanode { uuid: "c79a2e1f-6eaf-44d9-8a19-ac9bef1233da" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "c79a2e1f-6eaf-44d9-8a19-ac9bef1233da" networkLocation: "/default-rack" uuid128 { mostSigBits: -4063885001212607271 leastSigBits: -8495569436326874150 } } datanode { uuid: "72e1e144-bd84-4182-be8e-0cf784bfbc4a" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "72e1e144-bd84-4182-be8e-0cf784bfbc4a" networkLocation: "/default-rack" uuid128 { mostSigBits: 8278145275437269378 leastSigBits: -4715817502586717110 } } cmdId: 1679132034337 } ]} | ret=SUCCESS |  
2023-03-18 09:33:57,123 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[]} | ret=SUCCESS |  
2023-03-18 09:33:57,236 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[]} | ret=SUCCESS |  
2023-03-18 09:33:57,446 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da, command=[]} | ret=SUCCESS |  
2023-03-18 09:33:57,623 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aac7026c-7b2d-49d0-8662-f33d390fa161, command=[]} | ret=SUCCESS |  
2023-03-18 09:33:57,663 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da, command=[]} | ret=SUCCESS |  
