2023-03-29 09:04:04,775 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,775 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,781 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,782 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,782 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,782 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,782 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,783 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,783 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:04,794 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2023-03-29 09:04:06,355 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-03-29 09:04:06,918 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=REGISTER {datanodeDetails=6923c51e-bfbc-45c1-8bea-55f93cd4c96e(8d90cef7f977/172.23.0.12)} | ret=SUCCESS |  
2023-03-29 09:04:06,948 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=REGISTER {datanodeDetails=37b57ac0-94eb-4874-bcd8-f62ccab20694(a3ab2e407874/172.23.0.9)} | ret=SUCCESS |  
2023-03-29 09:04:06,964 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-03-29 09:04:07,579 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=REGISTER {datanodeDetails=91cbf7f8-1d2d-4881-accf-0db7ce0fbf2c(a89e45315275/172.23.0.14)} | ret=SUCCESS |  
2023-03-29 09:04:07,710 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-03-29 09:04:08,035 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=REGISTER {datanodeDetails=7ae0979f-d1b8-4370-b459-a04e5ec583fc(a2d717b41375/172.23.0.13)} | ret=SUCCESS |  
2023-03-29 09:04:08,181 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=REGISTER {datanodeDetails=5c3a7146-9200-4c82-be98-5e743ced1799(b1dcc003b97f/172.23.0.7)} | ret=SUCCESS |  
