2023-04-16 17:31:37,792 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-04-16 17:31:37,792 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-04-16 17:31:38,618 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=69282ae5-fbd1-4d40-9d8f-8b1fb3737a6e(9dbe5ebf62ac/172.18.0.4)} | ret=SUCCESS |  
2023-04-16 17:31:39,288 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-04-16 17:31:39,444 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-04-16 17:31:39,607 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-04-16 17:31:40,652 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=69282ae5-fbd1-4d40-9d8f-8b1fb3737a6e, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "02544996-9d80-40ad-b380-f89d76daeac7" uuid128 { mostSigBits: 167839997355901101 leastSigBits: -5512132588713874745 } } type: RATIS factor: ONE datanode { uuid: "69282ae5-fbd1-4d40-9d8f-8b1fb3737a6e" ipAddress: "172.18.0.4" hostName: "compatibility_datanode_1.compatibility_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "69282ae5-fbd1-4d40-9d8f-8b1fb3737a6e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7577353540311534912 leastSigBits: -7093297919814305170 } } cmdId: 1681666298633 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-04-16 17:31:42,105 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=69282ae5-fbd1-4d40-9d8f-8b1fb3737a6e, term=2, command=[]} | ret=SUCCESS |  
2023-04-16 17:31:43,942 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-04-16 17:31:47,583 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=69282ae5-fbd1-4d40-9d8f-8b1fb3737a6e, term=2, command=[]} | ret=SUCCESS |  
2023-04-16 17:31:48,078 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-04-16 17:32:10,447 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=69282ae5-fbd1-4d40-9d8f-8b1fb3737a6e, term=2, command=[]} | ret=SUCCESS |  
2023-04-16 17:32:10,486 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_CONTAINER_WITH_PIPELINE {containerID=#1} | ret=SUCCESS |  
