2023-04-18 11:23:04,170 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-04-18 11:23:04,173 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-04-18 11:23:04,173 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-04-18 11:23:04,172 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.7 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-04-18 11:23:04,988 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-04-18 11:23:05,131 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.5 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-04-18 11:23:05,175 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=REGISTER {datanodeDetails=8fe691ea-5e74-46f8-95cc-0915bad6cc8e{ip: 172.21.0.8, host: 0c44fb256c2c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-04-18 11:23:05,617 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.5 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-04-18 11:23:05,688 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.6 | op=REGISTER {datanodeDetails=cea4484b-26a3-4acd-970c-da4334c0dde5{ip: 172.21.0.6, host: 09cfa310cfa7, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-04-18 11:23:05,784 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=REGISTER {datanodeDetails=bd65216a-1371-4519-97a7-c596e8cd5517{ip: 172.21.0.9, host: e49a2caf212c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-04-18 11:23:07,014 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8fe691ea-5e74-46f8-95cc-0915bad6cc8e, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "94c6135b-7988-4e64-b7b5-028f2d548fa8" uuid128 { mostSigBits: -7726466827105579420 leastSigBits: -5209254580020015192 } } type: RATIS factor: ONE datanode { uuid: "8fe691ea-5e74-46f8-95cc-0915bad6cc8e" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "8fe691ea-5e74-46f8-95cc-0915bad6cc8e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8077608445849352456 leastSigBits: -7652731677875712882 } } cmdId: 1681816985231 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4efc2c0b-71a4-4a18-96b7-acd9354d9b1f" uuid128 { mostSigBits: 5691472456752319000 leastSigBits: -7586404998380152033 } } type: RATIS factor: THREE datanode { uuid: "bd65216a-1371-4519-97a7-c596e8cd5517" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bd65216a-1371-4519-97a7-c596e8cd5517" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4799393088416955111 leastSigBits: -7518823800930216681 } } datanode { uuid: "cea4484b-26a3-4acd-970c-da4334c0dde5" ipAddress: "172.21.0.6" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "cea4484b-26a3-4acd-970c-da4334c0dde5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3556638318107866419 leastSigBits: -7562429692079186459 } } datanode { uuid: "8fe691ea-5e74-46f8-95cc-0915bad6cc8e" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "8fe691ea-5e74-46f8-95cc-0915bad6cc8e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8077608445849352456 leastSigBits: -7652731677875712882 } } cmdId: 1681816985234 priority: 0 priority: 0 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "31d0e65c-931b-4613-bb3a-36e8123972bf" uuid128 { mostSigBits: 3589622188293703187 leastSigBits: -4955588069601742145 } } type: RATIS factor: THREE datanode { uuid: "8fe691ea-5e74-46f8-95cc-0915bad6cc8e" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "8fe691ea-5e74-46f8-95cc-0915bad6cc8e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8077608445849352456 leastSigBits: -7652731677875712882 } } datanode { uuid: "bd65216a-1371-4519-97a7-c596e8cd5517" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bd65216a-1371-4519-97a7-c596e8cd5517" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4799393088416955111 leastSigBits: -7518823800930216681 } } datanode { uuid: "cea4484b-26a3-4acd-970c-da4334c0dde5" ipAddress: "172.21.0.6" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "cea4484b-26a3-4acd-970c-da4334c0dde5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3556638318107866419 leastSigBits: -7562429692079186459 } } cmdId: 1681816985235 priority: 0 priority: 0 priority: 1 } ]} | ret=SUCCESS |  
