2023-04-18 15:54:47,184 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:54:47,866 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=volia0sc, creationTime=1681833287721, modificationTime=1681833287721, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-04-18 15:54:52,468 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:54:52,978 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:54:53,108 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=CREATE_BUCKET {volume=volia0sc, bucket=default, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1681833293095, bucketEncryptionKey=null, modificationTime=1681833293095, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-04-18 15:54:57,089 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:54:57,497 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:54:57,622 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=CREATE_BUCKET {volume=volia0sc, bucket=ratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1681833297615, bucketEncryptionKey=null, modificationTime=1681833297615, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-04-18 15:55:01,717 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:02,132 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:02,220 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=CREATE_BUCKET {volume=volia0sc, bucket=ecbucket, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1681833302215, bucketEncryptionKey=null, modificationTime=1681833302215, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-04-18 15:55:05,719 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:06,134 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:06,156 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_BUCKET {volume=volia0sc, bucket=default} | ret=SUCCESS |  
2023-04-18 15:55:06,276 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_BUCKET {volume=volia0sc, bucket=default} | ret=SUCCESS |  
2023-04-18 15:55:06,614 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=ALLOCATE_KEY {volume=volia0sc, bucket=default, key=3mb, dataSize=3145728, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-04-18 15:55:08,570 | INFO  | OMAudit | user=hadoop | ip=172.23.0.11 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:13,742 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=COMMIT_KEY {volume=volia0sc, bucket=default, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-04-18 15:55:17,600 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:17,974 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:17,997 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_BUCKET {volume=volia0sc, bucket=ratis} | ret=SUCCESS |  
2023-04-18 15:55:18,102 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_BUCKET {volume=volia0sc, bucket=ratis} | ret=SUCCESS |  
2023-04-18 15:55:18,128 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=ALLOCATE_KEY {volume=volia0sc, bucket=ratis, key=3mb, dataSize=3145728, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-04-18 15:55:20,695 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=COMMIT_KEY {volume=volia0sc, bucket=ratis, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-04-18 15:55:24,736 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:25,169 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:25,187 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_BUCKET {volume=volia0sc, bucket=ecbucket} | ret=SUCCESS |  
2023-04-18 15:55:25,263 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=READ_BUCKET {volume=volia0sc, bucket=ecbucket} | ret=SUCCESS |  
2023-04-18 15:55:25,319 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=ALLOCATE_KEY {volume=volia0sc, bucket=ecbucket, key=3mb, dataSize=3145728, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-04-18 15:55:28,624 | INFO  | OMAudit | user=hadoop | ip=172.23.0.2 | op=COMMIT_KEY {volume=volia0sc, bucket=ecbucket, key=3mb, dataSize=3145728, replicationType=EC, replicationFactor=ZERO} | ret=SUCCESS |  
2023-04-18 15:55:36,537 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:36,629 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:36,646 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_BUCKET {volume=volia0sc, bucket=ratis} | ret=SUCCESS |  
2023-04-18 15:55:36,848 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_KEY {volume=volia0sc, bucket=ratis, key=3mb, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2023-04-18 15:55:40,364 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:40,458 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:40,471 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_BUCKET {volume=volia0sc, bucket=default} | ret=SUCCESS |  
2023-04-18 15:55:40,486 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_KEY {volume=volia0sc, bucket=default, key=3mb, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2023-04-18 15:55:44,311 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:44,424 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:44,440 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_BUCKET {volume=volia0sc, bucket=ecbucket} | ret=SUCCESS |  
2023-04-18 15:55:44,462 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_KEY {volume=volia0sc, bucket=ecbucket, key=3mb, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2023-04-18 15:55:46,005 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:46,105 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_VOLUMES {prevKey=, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2023-04-18 15:55:46,397 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_VOLUMES {prevKey=volia0sc, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2023-04-18 15:55:48,116 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:48,210 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:48,227 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_BUCKETS {volume=volia0sc, startKey=, prefix=, maxNumOfBuckets=1000} | ret=SUCCESS |  
2023-04-18 15:55:48,579 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_BUCKETS {volume=volia0sc, startKey=ratis, prefix=, maxNumOfBuckets=1000} | ret=SUCCESS |  
2023-04-18 15:55:50,254 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-04-18 15:55:50,347 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_VOLUME {volume=volia0sc} | ret=SUCCESS |  
2023-04-18 15:55:50,364 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=READ_BUCKET {volume=volia0sc, bucket=default} | ret=SUCCESS |  
2023-04-18 15:55:50,376 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_KEYS {volume=volia0sc, bucket=default, startKey=, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2023-04-18 15:55:50,647 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_KEYS {volume=volia0sc, bucket=default, startKey=3mb, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2023-04-18 15:55:50,651 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_KEYS {volume=volia0sc, bucket=default, startKey=3mb, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2023-04-18 15:55:52,249 | INFO  | OMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
