2023-05-09 17:17:41,530 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-05-09 17:17:41,627 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:17:41,629 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:17:41,632 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:17:41,632 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:17:41,650 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:17:41,669 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:17:42,435 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-09 17:17:43,359 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-09 17:17:43,500 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=REGISTER {datanodeDetails=80085e9a-d157-4703-aefc-7bf233e90257(24f7a5c2a87a/172.19.0.11)} | ret=SUCCESS |  
2023-05-09 17:17:43,830 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=REGISTER {datanodeDetails=0b009e13-400c-46f2-9195-3e63987f4262(9f6b573e4bda/172.19.0.5)} | ret=SUCCESS |  
2023-05-09 17:17:44,481 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=REGISTER {datanodeDetails=2aababe1-5de1-4141-9722-ebce6b31b983(9c4c4a7036bf/172.19.0.12)} | ret=SUCCESS |  
