2023-05-09 17:29:26,265 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:29:26,265 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:29:26,265 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-09 17:29:26,299 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.6 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-05-09 17:29:26,870 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-09 17:29:26,895 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.10 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-09 17:29:27,037 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.7 | op=REGISTER {datanodeDetails=ca389ba3-e62f-40da-8863-619882120c0d{ip: 172.22.0.7, host: 1aa0f3065c07, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-09 17:29:27,412 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.10 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-09 17:29:27,819 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.2 | op=REGISTER {datanodeDetails=4e99bd3e-cafe-4564-959a-f352390d1374{ip: 172.22.0.2, host: c4199841a55c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-09 17:29:28,846 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=REGISTER {datanodeDetails=8c18aae6-7ad0-4be1-894e-22a6c00af0bb{ip: 172.22.0.5, host: e373952af5cd, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-09 17:29:28,869 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ca389ba3-e62f-40da-8863-619882120c0d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "084614ea-b756-4528-999e-3a191d08af01" uuid128 { mostSigBits: 596186999003956520 leastSigBits: -7377395260050591999 } } type: RATIS factor: ONE datanode { uuid: "ca389ba3-e62f-40da-8863-619882120c0d" ipAddress: "172.22.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ca389ba3-e62f-40da-8863-619882120c0d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3875176351108480806 leastSigBits: -8618937954211853299 } } cmdId: 1683653367295 priority: 1 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
