2023-05-09 17:24:12,746 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=REGISTER {datanodeDetails=182ea254-3d3c-4090-bc65-cfdef8faac8b{ip: 172.20.0.7, host: 9e4538c15cbc, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-05-09 17:24:12,748 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=REGISTER {datanodeDetails=875e415e-b434-419a-ae1b-d7a486934fa1{ip: 172.20.0.8, host: acf8d80ca6b3, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-05-09 17:24:12,895 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=REGISTER {datanodeDetails=eff8c50e-250d-43f1-b9ed-8319a4b2540c{ip: 172.20.0.10, host: 3ae47a4ae0b6, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-05-09 17:24:14,768 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=875e415e-b434-419a-ae1b-d7a486934fa1, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "de24d233-5570-441b-83a4-b0af6361d138" uuid128 { mostSigBits: -2439593980209380325 leastSigBits: -8960843091227324104 } } type: RATIS factor: ONE datanode { uuid: "875e415e-b434-419a-ae1b-d7a486934fa1" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "875e415e-b434-419a-ae1b-d7a486934fa1" networkLocation: "/default-rack" uuid128 { mostSigBits: -8692438355772423782 leastSigBits: -5900885785106493535 } } cmdId: 1683653052785 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5b09efb6-1720-4b12-8b91-46aff024845a" uuid128 { mostSigBits: 6560037897592916754 leastSigBits: -8389846909352377254 } } type: RATIS factor: THREE datanode { uuid: "eff8c50e-250d-43f1-b9ed-8319a4b2540c" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "eff8c50e-250d-43f1-b9ed-8319a4b2540c" networkLocation: "/default-rack" uuid128 { mostSigBits: -1154956639878691855 leastSigBits: -5049235461051886580 } } datanode { uuid: "875e415e-b434-419a-ae1b-d7a486934fa1" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "875e415e-b434-419a-ae1b-d7a486934fa1" networkLocation: "/default-rack" uuid128 { mostSigBits: -8692438355772423782 leastSigBits: -5900885785106493535 } } datanode { uuid: "182ea254-3d3c-4090-bc65-cfdef8faac8b" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "182ea254-3d3c-4090-bc65-cfdef8faac8b" networkLocation: "/default-rack" uuid128 { mostSigBits: 1742508588527272080 leastSigBits: -4871258865364456309 } } cmdId: 1683653052788 } ]} | ret=SUCCESS |  
2023-05-09 17:24:14,771 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "398a61b1-ad89-4584-9537-35236912d1d1" uuid128 { mostSigBits: 4146233822696523140 leastSigBits: -7694623012136234543 } } type: RATIS factor: ONE datanode { uuid: "182ea254-3d3c-4090-bc65-cfdef8faac8b" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "182ea254-3d3c-4090-bc65-cfdef8faac8b" networkLocation: "/default-rack" uuid128 { mostSigBits: 1742508588527272080 leastSigBits: -4871258865364456309 } } cmdId: 1683653052786 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5b09efb6-1720-4b12-8b91-46aff024845a" uuid128 { mostSigBits: 6560037897592916754 leastSigBits: -8389846909352377254 } } type: RATIS factor: THREE datanode { uuid: "eff8c50e-250d-43f1-b9ed-8319a4b2540c" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "eff8c50e-250d-43f1-b9ed-8319a4b2540c" networkLocation: "/default-rack" uuid128 { mostSigBits: -1154956639878691855 leastSigBits: -5049235461051886580 } } datanode { uuid: "875e415e-b434-419a-ae1b-d7a486934fa1" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "875e415e-b434-419a-ae1b-d7a486934fa1" networkLocation: "/default-rack" uuid128 { mostSigBits: -8692438355772423782 leastSigBits: -5900885785106493535 } } datanode { uuid: "182ea254-3d3c-4090-bc65-cfdef8faac8b" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "182ea254-3d3c-4090-bc65-cfdef8faac8b" networkLocation: "/default-rack" uuid128 { mostSigBits: 1742508588527272080 leastSigBits: -4871258865364456309 } } cmdId: 1683653052788 } ]} | ret=SUCCESS |  
2023-05-09 17:24:14,945 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=eff8c50e-250d-43f1-b9ed-8319a4b2540c, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c02e7eca-28ae-4ff8-ba32-b3032004bbb3" uuid128 { mostSigBits: -4598598762767691784 leastSigBits: -5029761007815967821 } } type: RATIS factor: ONE datanode { uuid: "eff8c50e-250d-43f1-b9ed-8319a4b2540c" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "eff8c50e-250d-43f1-b9ed-8319a4b2540c" networkLocation: "/default-rack" uuid128 { mostSigBits: -1154956639878691855 leastSigBits: -5049235461051886580 } } cmdId: 1683653052787 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5b09efb6-1720-4b12-8b91-46aff024845a" uuid128 { mostSigBits: 6560037897592916754 leastSigBits: -8389846909352377254 } } type: RATIS factor: THREE datanode { uuid: "eff8c50e-250d-43f1-b9ed-8319a4b2540c" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "eff8c50e-250d-43f1-b9ed-8319a4b2540c" networkLocation: "/default-rack" uuid128 { mostSigBits: -1154956639878691855 leastSigBits: -5049235461051886580 } } datanode { uuid: "875e415e-b434-419a-ae1b-d7a486934fa1" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "875e415e-b434-419a-ae1b-d7a486934fa1" networkLocation: "/default-rack" uuid128 { mostSigBits: -8692438355772423782 leastSigBits: -5900885785106493535 } } datanode { uuid: "182ea254-3d3c-4090-bc65-cfdef8faac8b" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "182ea254-3d3c-4090-bc65-cfdef8faac8b" networkLocation: "/default-rack" uuid128 { mostSigBits: 1742508588527272080 leastSigBits: -4871258865364456309 } } cmdId: 1683653052788 } ]} | ret=SUCCESS |  
2023-05-09 17:24:15,765 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:15,918 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=875e415e-b434-419a-ae1b-d7a486934fa1, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:16,216 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=eff8c50e-250d-43f1-b9ed-8319a4b2540c, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:16,372 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=182ea254-3d3c-4090-bc65-cfdef8faac8b, command=[]} | ret=SUCCESS |  
2023-05-09 17:24:16,599 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=875e415e-b434-419a-ae1b-d7a486934fa1, command=[]} | ret=SUCCESS |  
