2023-05-18 03:18:42,407 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:18:42,408 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:18:42,408 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:18:42,408 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:18:42,408 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:18:42,408 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:18:42,710 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-05-18 03:18:43,904 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-18 03:18:44,521 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-18 03:18:45,137 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=REGISTER {datanodeDetails=574ea874-355f-43ea-aec0-b9263e626ec6(818b2f55eb3e/172.19.0.6)} | ret=SUCCESS |  
2023-05-18 03:18:45,156 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=REGISTER {datanodeDetails=20462d7f-1f10-41a3-a729-65d9a4642bd1(5424c90b3106/172.19.0.12)} | ret=SUCCESS |  
2023-05-18 03:18:45,334 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=REGISTER {datanodeDetails=37d77ebb-a97b-40eb-a5b6-e058532b7e4d(1dc4092a7142/172.19.0.7)} | ret=SUCCESS |  
2023-05-18 03:18:46,930 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=574ea874-355f-43ea-aec0-b9263e626ec6, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "757becf9-bd15-4aac-b4c0-c7927478e0b9" uuid128 { mostSigBits: 8465620481936280236 leastSigBits: -5422114519520845639 } } type: RATIS factor: ONE datanode { uuid: "574ea874-355f-43ea-aec0-b9263e626ec6" ipAddress: "172.19.0.6" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "574ea874-355f-43ea-aec0-b9263e626ec6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6291150946548270058 leastSigBits: -5854475941675110714 } } cmdId: 1684379925187 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
