2023-05-18 03:37:08,441 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-18 03:37:08,681 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,681 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,682 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,682 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,695 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,699 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,699 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,702 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,703 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:08,719 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 03:37:10,576 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-05-18 03:37:11,224 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-18 03:37:11,989 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=REGISTER {datanodeDetails=43529ebf-b7a6-4f12-8424-99f82fcb4698(662c359fe77e/172.23.0.7)} | ret=SUCCESS |  
2023-05-18 03:37:12,007 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=REGISTER {datanodeDetails=778d6059-a334-4d84-a7e0-c27a5c019c39(bb8ecb064ce8/172.23.0.13)} | ret=SUCCESS |  
2023-05-18 03:37:12,011 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=REGISTER {datanodeDetails=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc(79b1d061c21a/172.23.0.2)} | ret=SUCCESS |  
2023-05-18 03:37:12,425 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=REGISTER {datanodeDetails=b7b3c409-7348-4767-a951-97148288ec3e(cbb503eeb1b7/172.23.0.8)} | ret=SUCCESS |  
2023-05-18 03:37:12,524 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=REGISTER {datanodeDetails=375020a9-c396-44e1-b26e-96302662c980(8a7ca2835ab2/172.23.0.5)} | ret=SUCCESS |  
2023-05-18 03:37:15,023 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "128d3943-f7f5-4eea-9c3c-5e8790530e5b" uuid128 { mostSigBits: 1336787628484546282 leastSigBits: -7188766968855196069 } } type: RATIS factor: ONE datanode { uuid: "43529ebf-b7a6-4f12-8424-99f82fcb4698" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_4.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "43529ebf-b7a6-4f12-8424-99f82fcb4698" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4851114294888517394 leastSigBits: -8924839270308690280 } } cmdId: 1684381031748 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
