2023-05-18 20:34:56,613 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 20:34:56,614 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 20:34:56,618 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-18 20:34:57,014 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.7 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-18 20:34:58,018 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.11 | op=REGISTER {datanodeDetails=a7cd8ae9-e562-49a6-a628-39f10da5aefe{ip: 172.21.0.11, host: 1ed2d9c8a585, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-18 20:34:58,042 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.6 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-05-18 20:34:58,084 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-18 20:34:58,181 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=REGISTER {datanodeDetails=51ce4d8d-2ed1-4cdd-bd1b-32e0fa6964e4{ip: 172.21.0.9, host: 9608ad3f0fac, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-18 20:34:58,278 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.10 | op=REGISTER {datanodeDetails=51e7acc6-8202-4eb5-9d7b-85112e69493c{ip: 172.21.0.10, host: b8ea9580c34a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-18 20:34:58,327 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-18 20:35:00,049 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.11 | op=SEND_HEARTBEAT {datanodeUUID=a7cd8ae9-e562-49a6-a628-39f10da5aefe, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "36f8a15f-8a2f-4358-857c-765f4a56eae3" uuid128 { mostSigBits: 3961093303984669528 leastSigBits: -8828051017911833885 } } type: RATIS factor: ONE datanode { uuid: "a7cd8ae9-e562-49a6-a628-39f10da5aefe" ipAddress: "172.21.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a7cd8ae9-e562-49a6-a628-39f10da5aefe" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6355270761969464922 leastSigBits: -6473860756866224386 } } cmdId: 1684442098040 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "7b280a96-87d3-47c8-837f-83a3f82253e3" uuid128 { mostSigBits: 8874354707373705160 leastSigBits: -8971307192432831517 } } type: RATIS factor: THREE datanode { uuid: "51ce4d8d-2ed1-4cdd-bd1b-32e0fa6964e4" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "51ce4d8d-2ed1-4cdd-bd1b-32e0fa6964e4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5894734231045754077 leastSigBits: -4820203034314709788 } } datanode { uuid: "a7cd8ae9-e562-49a6-a628-39f10da5aefe" ipAddress: "172.21.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a7cd8ae9-e562-49a6-a628-39f10da5aefe" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6355270761969464922 leastSigBits: -6473860756866224386 } } datanode { uuid: "51e7acc6-8202-4eb5-9d7b-85112e69493c" ipAddress: "172.21.0.10" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "51e7acc6-8202-4eb5-9d7b-85112e69493c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5901875805277015733 leastSigBits: -7098934078779864772 } } cmdId: 1684442098043 priority: 0 priority: 1 priority: 0 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5cd529fb-aec5-441e-a80b-96b06c0d58a7" uuid128 { mostSigBits: 6689298982474433566 leastSigBits: -6337806366122616665 } } type: RATIS factor: THREE datanode { uuid: "51ce4d8d-2ed1-4cdd-bd1b-32e0fa6964e4" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "51ce4d8d-2ed1-4cdd-bd1b-32e0fa6964e4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5894734231045754077 leastSigBits: -4820203034314709788 } } datanode { uuid: "51e7acc6-8202-4eb5-9d7b-85112e69493c" ipAddress: "172.21.0.10" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "51e7acc6-8202-4eb5-9d7b-85112e69493c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5901875805277015733 leastSigBits: -7098934078779864772 } } datanode { uuid: "a7cd8ae9-e562-49a6-a628-39f10da5aefe" ipAddress: "172.21.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a7cd8ae9-e562-49a6-a628-39f10da5aefe" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6355270761969464922 leastSigBits: -6473860756866224386 } } cmdId: 1684442098044 priority: 1 priority: 0 priority: 0 } ]} | ret=SUCCESS |  
