2023-05-31 01:23:40,631 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 01:23:40,637 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 01:23:40,639 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 01:23:40,676 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.7 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-05-31 01:23:41,417 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-31 01:23:41,428 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.11 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-31 01:23:41,712 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=REGISTER {datanodeDetails=e170de37-6b1f-4938-b13a-93d56936871d{ip: 172.21.0.8, host: 489fee393343, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-31 01:23:41,942 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-31 01:23:42,418 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.2 | op=REGISTER {datanodeDetails=38f5f336-b015-48e3-94da-e57328974de7{ip: 172.21.0.2, host: cbdfb733b6ef, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-31 01:23:42,580 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=REGISTER {datanodeDetails=b3fc39de-1198-4de3-930a-048678ca2e43{ip: 172.21.0.4, host: a5ace3f6f454, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-05-31 01:23:43,500 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e170de37-6b1f-4938-b13a-93d56936871d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "126e51b4-7563-49ef-bb9b-27e3f1f7deab" uuid128 { mostSigBits: 1328088775626279407 leastSigBits: -4928301507256262997 } } type: RATIS factor: ONE datanode { uuid: "e170de37-6b1f-4938-b13a-93d56936871d" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e170de37-6b1f-4938-b13a-93d56936871d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2202015888182392520 leastSigBits: -5676061835544590563 } } cmdId: 1685496221721 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ffe730c5-c6a9-401e-b5d5-0967438c99c8" uuid128 { mostSigBits: -6983248418095074 leastSigBits: -5344355043685656120 } } type: RATIS factor: THREE datanode { uuid: "e170de37-6b1f-4938-b13a-93d56936871d" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e170de37-6b1f-4938-b13a-93d56936871d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2202015888182392520 leastSigBits: -5676061835544590563 } } datanode { uuid: "b3fc39de-1198-4de3-930a-048678ca2e43" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b3fc39de-1198-4de3-930a-048678ca2e43" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5477439420848648733 leastSigBits: -7851458024768393661 } } datanode { uuid: "38f5f336-b015-48e3-94da-e57328974de7" ipAddress: "172.21.0.2" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "38f5f336-b015-48e3-94da-e57328974de7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4104454051626043619 leastSigBits: -7720606328408289817 } } cmdId: 1685496221724 priority: 1 priority: 0 priority: 0 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "77ea0774-f407-45d8-a5d7-e9cd34b3e4c5" uuid128 { mostSigBits: 8640727033955435992 leastSigBits: -6496466869896878907 } } type: RATIS factor: THREE datanode { uuid: "e170de37-6b1f-4938-b13a-93d56936871d" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e170de37-6b1f-4938-b13a-93d56936871d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2202015888182392520 leastSigBits: -5676061835544590563 } } datanode { uuid: "b3fc39de-1198-4de3-930a-048678ca2e43" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b3fc39de-1198-4de3-930a-048678ca2e43" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5477439420848648733 leastSigBits: -7851458024768393661 } } datanode { uuid: "38f5f336-b015-48e3-94da-e57328974de7" ipAddress: "172.21.0.2" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "38f5f336-b015-48e3-94da-e57328974de7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4104454051626043619 leastSigBits: -7720606328408289817 } } cmdId: 1685496221725 priority: 0 priority: 1 priority: 0 } ]} | ret=SUCCESS |  
