2023-05-31 20:38:37,521 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 20:38:37,519 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 20:38:37,519 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 20:38:37,520 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 20:38:37,521 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 20:38:37,521 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-05-31 20:38:37,524 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-05-31 20:38:40,117 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=84856f17-3760-4547-b0e3-1cab47f6312e(7d8a06937e29/172.18.0.6)} | ret=SUCCESS |  
2023-05-31 20:38:40,163 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=4df68a66-5d1f-4986-abad-d5790d1e42f9(80550858963d/172.18.0.4)} | ret=SUCCESS |  
2023-05-31 20:38:40,241 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=a1b85bec-cba4-45fc-b769-6b38ac6177c5(7b854d951793/172.18.0.7)} | ret=SUCCESS |  
2023-05-31 20:38:40,318 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=7bf2e948-64be-49c6-bdc5-245d9321cc97(856d17d7c9be/172.18.0.9)} | ret=SUCCESS |  
2023-05-31 20:38:40,346 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-05-31 20:38:41,321 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-05-31 20:38:41,372 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=0ebd6eb1-d6fb-424f-8fe0-50d2c5637e22(d1a32e68ff24/172.18.0.8)} | ret=SUCCESS |  
2023-05-31 20:38:42,667 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=84856f17-3760-4547-b0e3-1cab47f6312e, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b7375166-968a-4fa8-8dd6-49208fbb2109" uuid128 { mostSigBits: -5244633739995492440 leastSigBits: -8226307265146445559 } } type: RATIS factor: ONE datanode { uuid: "84856f17-3760-4547-b0e3-1cab47f6312e" ipAddress: "172.18.0.6" hostName: "ozone-legacy-bucket_datanode_1.ozone-legacy-bucket_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "84856f17-3760-4547-b0e3-1cab47f6312e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8897583343296559801 leastSigBits: -5700681181348613842 } } cmdId: 1685565520210 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
