2023-06-01 20:00:32,254 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-01 20:00:32,255 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-01 20:00:32,255 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.5 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-06-01 20:00:32,255 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-01 20:00:33,141 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-06-01 20:00:33,965 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.7 | op=REGISTER {datanodeDetails=12622f38-03c8-4b11-b184-626221025f69{ip: 172.21.0.7, host: 7da6680f4b40, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-06-01 20:00:34,141 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.2 | op=REGISTER {datanodeDetails=e6da5091-7e15-4852-9726-a60451a8e58a{ip: 172.21.0.2, host: 7969fb94f865, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-06-01 20:00:34,202 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=REGISTER {datanodeDetails=f50cd46a-010b-48ca-b3ba-2d6163cd3824{ip: 172.21.0.4, host: 68e443fd21fc, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-06-01 20:00:35,196 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.10 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-06-01 20:00:35,840 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.7 | op=SEND_HEARTBEAT {datanodeUUID=12622f38-03c8-4b11-b184-626221025f69, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "52bc2232-265b-465a-b971-ba5a0e5b02f5" uuid128 { mostSigBits: 5961677605518919258 leastSigBits: -5084077608373910795 } } type: RATIS factor: ONE datanode { uuid: "12622f38-03c8-4b11-b184-626221025f69" ipAddress: "172.21.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "12622f38-03c8-4b11-b184-626221025f69" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1324673158028479249 leastSigBits: -5655287058470379671 } } cmdId: 1685649634200 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "1943312b-a413-497c-b450-382b72b5fb2f" uuid128 { mostSigBits: 1820352737893894524 leastSigBits: -5453797389486392529 } } type: RATIS factor: THREE datanode { uuid: "12622f38-03c8-4b11-b184-626221025f69" ipAddress: "172.21.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "12622f38-03c8-4b11-b184-626221025f69" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1324673158028479249 leastSigBits: -5655287058470379671 } } datanode { uuid: "e6da5091-7e15-4852-9726-a60451a8e58a" ipAddress: "172.21.0.2" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e6da5091-7e15-4852-9726-a60451a8e58a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1812047314247399342 leastSigBits: -7555168787387325046 } } datanode { uuid: "f50cd46a-010b-48ca-b3ba-2d6163cd3824" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f50cd46a-010b-48ca-b3ba-2d6163cd3824" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -789022282947540790 leastSigBits: -5496030498942797788 } } cmdId: 1685649634201 priority: 0 priority: 0 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "49c724a0-b803-4a10-813b-a0ffdffadfd9" uuid128 { mostSigBits: 5316258157834750480 leastSigBits: -9134530398356054055 } } type: RATIS factor: THREE datanode { uuid: "e6da5091-7e15-4852-9726-a60451a8e58a" ipAddress: "172.21.0.2" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e6da5091-7e15-4852-9726-a60451a8e58a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1812047314247399342 leastSigBits: -7555168787387325046 } } datanode { uuid: "12622f38-03c8-4b11-b184-626221025f69" ipAddress: "172.21.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "12622f38-03c8-4b11-b184-626221025f69" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1324673158028479249 leastSigBits: -5655287058470379671 } } datanode { uuid: "f50cd46a-010b-48ca-b3ba-2d6163cd3824" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f50cd46a-010b-48ca-b3ba-2d6163cd3824" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -789022282947540790 leastSigBits: -5496030498942797788 } } cmdId: 1685649634203 priority: 1 priority: 0 priority: 0 } ]} | ret=SUCCESS |  
2023-06-01 20:00:35,850 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e6da5091-7e15-4852-9726-a60451a8e58a, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "1943312b-a413-497c-b450-382b72b5fb2f" uuid128 { mostSigBits: 1820352737893894524 leastSigBits: -5453797389486392529 } } type: RATIS factor: THREE datanode { uuid: "12622f38-03c8-4b11-b184-626221025f69" ipAddress: "172.21.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "12622f38-03c8-4b11-b184-626221025f69" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1324673158028479249 leastSigBits: -5655287058470379671 } } datanode { uuid: "e6da5091-7e15-4852-9726-a60451a8e58a" ipAddress: "172.21.0.2" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e6da5091-7e15-4852-9726-a60451a8e58a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1812047314247399342 leastSigBits: -7555168787387325046 } } datanode { uuid: "f50cd46a-010b-48ca-b3ba-2d6163cd3824" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f50cd46a-010b-48ca-b3ba-2d6163cd3824" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -789022282947540790 leastSigBits: -5496030498942797788 } } cmdId: 1685649634201 priority: 0 priority: 0 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "49c724a0-b803-4a10-813b-a0ffdffadfd9" uuid128 { mostSigBits: 5316258157834750480 leastSigBits: -9134530398356054055 } } type: RATIS factor: THREE datanode { uuid: "e6da5091-7e15-4852-9726-a60451a8e58a" ipAddress: "172.21.0.2" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e6da5091-7e15-4852-9726-a60451a8e58a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1812047314247399342 leastSigBits: -7555168787387325046 } } datanode { uuid: "12622f38-03c8-4b11-b184-626221025f69" ipAddress: "172.21.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "12622f38-03c8-4b11-b184-626221025f69" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1324673158028479249 leastSigBits: -5655287058470379671 } } datanode { uuid: "f50cd46a-010b-48ca-b3ba-2d6163cd3824" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f50cd46a-010b-48ca-b3ba-2d6163cd3824" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -789022282947540790 leastSigBits: -5496030498942797788 } } cmdId: 1685649634203 priority: 1 priority: 0 priority: 0 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d889efcd-bc9a-4669-a687-b2d057e3791f" uuid128 { mostSigBits: -2843478022796196247 leastSigBits: -6446987733660108513 } } type: RATIS factor: ONE datanode { uuid: "e6da5091-7e15-4852-9726-a60451a8e58a" ipAddress: "172.21.0.2" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e6da5091-7e15-4852-9726-a60451a8e58a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1812047314247399342 leastSigBits: -7555168787387325046 } } cmdId: 1685649634204 priority: 1 } ]} | ret=SUCCESS |  
