2023-06-05 20:24:17,298 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,294 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,294 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,292 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,294 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,294 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,294 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,294 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,299 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:17,299 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-05 20:24:18,697 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-06-05 20:24:19,429 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-06-05 20:24:20,502 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-06-05 20:24:20,581 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=REGISTER {datanodeDetails=07008a2a-a0c2-433b-b84a-0b683182ffce(fdf1daaeeb6d/172.23.0.11)} | ret=SUCCESS |  
2023-06-05 20:24:20,581 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=REGISTER {datanodeDetails=eac32672-553f-47b6-8df5-84032a98e29f(128b84822772/172.23.0.8)} | ret=SUCCESS |  
2023-06-05 20:24:20,584 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=REGISTER {datanodeDetails=a14315d1-204d-48a3-81bc-62d701476b50(ddc3daaf5472/172.23.0.14)} | ret=SUCCESS |  
2023-06-05 20:24:20,833 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=REGISTER {datanodeDetails=5f116430-e0f3-4f7e-a164-570f6609cbd1(bcc9031bfd7e/172.23.0.13)} | ret=SUCCESS |  
2023-06-05 20:24:21,132 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=REGISTER {datanodeDetails=baf449a5-71b9-4406-9696-b31310ed6d38(7fac95235a83/172.23.0.12)} | ret=SUCCESS |  
2023-06-05 20:24:21,853 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=eac32672-553f-47b6-8df5-84032a98e29f, term=2, command=[]} | ret=SUCCESS |  
