2023-06-07 13:46:53,062 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,061 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,062 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,062 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,062 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,061 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,061 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,062 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,060 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:53,062 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-07 13:46:54,761 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-06-07 13:46:54,800 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-06-07 13:46:54,884 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=REGISTER {datanodeDetails=4741b5af-a2d0-4f0c-bfe3-b212e638cc35(44b15595607a/172.23.0.8)} | ret=SUCCESS |  
2023-06-07 13:46:55,092 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=REGISTER {datanodeDetails=e484ba83-7bbc-472e-93b1-89ab2c698484(976f22ffd908/172.23.0.6)} | ret=SUCCESS |  
2023-06-07 13:46:55,093 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=REGISTER {datanodeDetails=47848b24-3293-46da-92ea-19494935014f(948812b7a8ea/172.23.0.7)} | ret=SUCCESS |  
2023-06-07 13:46:55,336 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-06-07 13:46:55,473 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=REGISTER {datanodeDetails=cff32106-875d-40ba-9dc9-9b5c62dfb79e(77d8e6a07f6e/172.23.0.13)} | ret=SUCCESS |  
2023-06-07 13:46:56,476 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=REGISTER {datanodeDetails=9c7d844a-94b8-407f-b1b8-4974cf5471a9(cba719fa2089/172.23.0.5)} | ret=SUCCESS |  
