2023-06-08 09:50:05,881 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-08 09:50:06,711 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=volp9xh2, creationTime=1686217806462, modificationTime=1686217806462, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-06-08 09:50:11,479 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-08 09:50:12,171 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_VOLUME {volume=volp9xh2} | ret=SUCCESS |  
2023-06-08 09:50:12,326 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=CREATE_BUCKET {volume=volp9xh2, bucket=default, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1686217812304, bucketEncryptionKey=null, modificationTime=1686217812304, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-06-08 09:50:16,749 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-08 09:50:17,273 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_VOLUME {volume=volp9xh2} | ret=SUCCESS |  
2023-06-08 09:50:17,381 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=CREATE_BUCKET {volume=volp9xh2, bucket=ratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1686217817373, bucketEncryptionKey=null, modificationTime=1686217817373, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-06-08 09:50:19,501 | INFO  | OMAudit | user=hadoop | ip=172.23.0.8 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-08 09:50:22,513 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-08 09:50:23,378 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_VOLUME {volume=volp9xh2} | ret=SUCCESS |  
2023-06-08 09:50:23,495 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=CREATE_BUCKET {volume=volp9xh2, bucket=ecbucket, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1686217823489, bucketEncryptionKey=null, modificationTime=1686217823489, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-06-08 09:50:27,739 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-08 09:50:28,142 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_VOLUME {volume=volp9xh2} | ret=SUCCESS |  
2023-06-08 09:50:28,180 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_BUCKET {volume=volp9xh2, bucket=default} | ret=SUCCESS |  
2023-06-08 09:50:28,278 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_BUCKET {volume=volp9xh2, bucket=default} | ret=SUCCESS |  
2023-06-08 09:50:28,600 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=ALLOCATE_KEY {volume=volp9xh2, bucket=default, key=3mb, dataSize=3145728, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-06-08 09:50:33,137 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=COMMIT_KEY {volume=volp9xh2, bucket=default, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-06-08 09:50:37,709 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-08 09:50:38,175 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_VOLUME {volume=volp9xh2} | ret=SUCCESS |  
2023-06-08 09:50:38,217 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_BUCKET {volume=volp9xh2, bucket=ratis} | ret=SUCCESS |  
2023-06-08 09:50:38,301 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_BUCKET {volume=volp9xh2, bucket=ratis} | ret=SUCCESS |  
2023-06-08 09:50:38,333 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=ALLOCATE_KEY {volume=volp9xh2, bucket=ratis, key=3mb, dataSize=3145728, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-06-08 09:50:41,051 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=COMMIT_KEY {volume=volp9xh2, bucket=ratis, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-06-08 09:50:45,138 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-08 09:50:45,755 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_VOLUME {volume=volp9xh2} | ret=SUCCESS |  
2023-06-08 09:50:45,782 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_BUCKET {volume=volp9xh2, bucket=ecbucket} | ret=SUCCESS |  
2023-06-08 09:50:45,861 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=READ_BUCKET {volume=volp9xh2, bucket=ecbucket} | ret=SUCCESS |  
2023-06-08 09:50:45,916 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=ALLOCATE_KEY {volume=volp9xh2, bucket=ecbucket, key=3mb, dataSize=3145728, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-06-08 09:50:49,646 | INFO  | OMAudit | user=hadoop | ip=172.23.0.3 | op=COMMIT_KEY {volume=volp9xh2, bucket=ecbucket, key=3mb, dataSize=3145728, replicationType=EC, replicationFactor=ZERO} | ret=SUCCESS |  
2023-06-08 09:50:57,936 | INFO  | OMAudit | user=hadoop | ip=172.23.0.14 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
