2023-06-08 09:49:29,590 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,590 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-06-08 09:49:29,592 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,592 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,592 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,592 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,594 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,595 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,595 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,596 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:29,598 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-08 09:49:31,424 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-06-08 09:49:31,596 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=REGISTER {datanodeDetails=39ed2de8-9afe-4ff8-be35-a3aae65c888b(3f06e8a36d71/172.23.0.7)} | ret=SUCCESS |  
2023-06-08 09:49:31,807 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-06-08 09:49:32,059 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=REGISTER {datanodeDetails=961a7299-8242-4b18-bd61-ab3b643ad3ba(a319c6662748/172.23.0.5)} | ret=SUCCESS |  
2023-06-08 09:49:32,669 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=REGISTER {datanodeDetails=052cdba5-71f7-4961-bb94-8c21d1ec321b(d5eddfb8d8f9/172.23.0.9)} | ret=SUCCESS |  
2023-06-08 09:49:32,748 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=REGISTER {datanodeDetails=ce41e6fb-eda1-47d0-b8df-4747d7281e78(341cd7c9b9e0/172.23.0.2)} | ret=SUCCESS |  
2023-06-08 09:49:32,890 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=REGISTER {datanodeDetails=f842e949-9ec6-471f-be24-27173adc661d(d66053db577c/172.23.0.4)} | ret=SUCCESS |  
2023-06-08 09:49:33,968 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=39ed2de8-9afe-4ff8-be35-a3aae65c888b, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "16d5ce32-7ac1-4b72-8699-ca682ed00ec9" uuid128 { mostSigBits: 1645447955076959090 leastSigBits: -8747738252379681079 } } type: RATIS factor: ONE datanode { uuid: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4174042906698338296 leastSigBits: -4740703078332987253 } } cmdId: 1686217771667 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "429909f2-501e-4182-b2e6-5160e02145c8" uuid128 { mostSigBits: 4798877814270869890 leastSigBits: -5555663613795940920 } } type: RATIS factor: THREE datanode { uuid: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4174042906698338296 leastSigBits: -4740703078332987253 } } datanode { uuid: "961a7299-8242-4b18-bd61-ab3b643ad3ba" ipAddress: "172.23.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "961a7299-8242-4b18-bd61-ab3b643ad3ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7630660614984938728 leastSigBits: -4800367456227241030 } } datanode { uuid: "052cdba5-71f7-4961-bb94-8c21d1ec321b" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_5.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "052cdba5-71f7-4961-bb94-8c21d1ec321b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 372914372793026913 leastSigBits: -4930161615180123621 } } cmdId: 1686217771670 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "43e94bf3-f0b2-44bd-86b8-251b8c7e02ac" uuid128 { mostSigBits: 4893525981202105533 leastSigBits: -8739194276661034324 } } type: RATIS factor: THREE datanode { uuid: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4174042906698338296 leastSigBits: -4740703078332987253 } } datanode { uuid: "961a7299-8242-4b18-bd61-ab3b643ad3ba" ipAddress: "172.23.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "961a7299-8242-4b18-bd61-ab3b643ad3ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7630660614984938728 leastSigBits: -4800367456227241030 } } datanode { uuid: "052cdba5-71f7-4961-bb94-8c21d1ec321b" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_5.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "052cdba5-71f7-4961-bb94-8c21d1ec321b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 372914372793026913 leastSigBits: -4930161615180123621 } } cmdId: 1686217771672 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-06-08 09:49:33,992 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=961a7299-8242-4b18-bd61-ab3b643ad3ba, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "9f542345-2621-4ac8-9d49-70bfd3829bfa" uuid128 { mostSigBits: -6965903943735883064 leastSigBits: -7113030167265371142 } } type: RATIS factor: ONE datanode { uuid: "961a7299-8242-4b18-bd61-ab3b643ad3ba" ipAddress: "172.23.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "961a7299-8242-4b18-bd61-ab3b643ad3ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7630660614984938728 leastSigBits: -4800367456227241030 } } cmdId: 1686217771668 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "429909f2-501e-4182-b2e6-5160e02145c8" uuid128 { mostSigBits: 4798877814270869890 leastSigBits: -5555663613795940920 } } type: RATIS factor: THREE datanode { uuid: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4174042906698338296 leastSigBits: -4740703078332987253 } } datanode { uuid: "961a7299-8242-4b18-bd61-ab3b643ad3ba" ipAddress: "172.23.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "961a7299-8242-4b18-bd61-ab3b643ad3ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7630660614984938728 leastSigBits: -4800367456227241030 } } datanode { uuid: "052cdba5-71f7-4961-bb94-8c21d1ec321b" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_5.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "052cdba5-71f7-4961-bb94-8c21d1ec321b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 372914372793026913 leastSigBits: -4930161615180123621 } } cmdId: 1686217771670 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "43e94bf3-f0b2-44bd-86b8-251b8c7e02ac" uuid128 { mostSigBits: 4893525981202105533 leastSigBits: -8739194276661034324 } } type: RATIS factor: THREE datanode { uuid: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "39ed2de8-9afe-4ff8-be35-a3aae65c888b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4174042906698338296 leastSigBits: -4740703078332987253 } } datanode { uuid: "961a7299-8242-4b18-bd61-ab3b643ad3ba" ipAddress: "172.23.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "961a7299-8242-4b18-bd61-ab3b643ad3ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7630660614984938728 leastSigBits: -4800367456227241030 } } datanode { uuid: "052cdba5-71f7-4961-bb94-8c21d1ec321b" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_5.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "052cdba5-71f7-4961-bb94-8c21d1ec321b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 372914372793026913 leastSigBits: -4930161615180123621 } } cmdId: 1686217771672 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
