2023-06-16 06:29:49,425 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-16 06:29:50,115 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol-iljng, creationTime=1686896990003, modificationTime=1686896990003, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-06-16 06:29:54,273 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-16 06:29:54,682 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=READ_VOLUME {volume=vol-iljng} | ret=SUCCESS |  
2023-06-16 06:29:54,796 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=CREATE_BUCKET {volume=vol-iljng, bucket=buc-ngfqa, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1686896994777, bucketEncryptionKey=null, modificationTime=1686896994777, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-06-16 06:29:58,782 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-16 06:29:59,287 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=READ_VOLUME {volume=vol-iljng} | ret=SUCCESS |  
2023-06-16 06:29:59,326 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=READ_BUCKET {volume=vol-iljng, bucket=buc-ngfqa} | ret=SUCCESS |  
2023-06-16 06:29:59,457 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=READ_BUCKET {volume=vol-iljng, bucket=buc-ngfqa} | ret=SUCCESS |  
2023-06-16 06:29:59,801 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=ALLOCATE_KEY {volume=vol-iljng, bucket=buc-ngfqa, key=file1, dataSize=4068, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-06-16 06:30:03,542 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=COMMIT_KEY {volume=vol-iljng, bucket=buc-ngfqa, key=file1, dataSize=4068, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-06-16 06:30:07,773 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-16 06:30:08,233 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-06-16 06:30:08,829 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=READ_VOLUME {volume=vol-iljng} | ret=SUCCESS |  
2023-06-16 06:30:08,863 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=READ_BUCKET {volume=vol-iljng, bucket=buc-ngfqa} | ret=SUCCESS |  
2023-06-16 06:30:08,945 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=READ_BUCKET {volume=vol-iljng, bucket=buc-ngfqa} | ret=SUCCESS |  
2023-06-16 06:30:08,964 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=ALLOCATE_KEY {volume=vol-iljng, bucket=buc-ngfqa, key=dir1/dir2/file2, dataSize=6038, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-06-16 06:30:11,591 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=COMMIT_KEY {volume=vol-iljng, bucket=buc-ngfqa, key=dir1/dir2/file2, dataSize=6038, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
