2023-06-16 06:32:25,771 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-16 06:32:25,771 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-16 06:32:25,772 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-16 06:32:25,772 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-16 06:32:25,772 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-06-16 06:32:26,336 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-06-16 06:32:26,895 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-06-16 06:32:27,071 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=REGISTER {datanodeDetails=2afe77c9-b70d-4f60-853c-539dbe25ad50(ef27cbcd8b07/172.19.0.3)} | ret=SUCCESS |  
2023-06-16 06:32:27,293 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=REGISTER {datanodeDetails=28f28295-f9b6-4a85-ad72-14a73ae69d77(1a4f36c38acc/172.19.0.8)} | ret=SUCCESS |  
2023-06-16 06:32:27,366 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-06-16 06:32:27,903 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=REGISTER {datanodeDetails=55d42d4b-e26a-4462-832c-2eb2975f0613(17c6b152f368/172.19.0.7)} | ret=SUCCESS |  
