2023-06-22 08:38:36,568 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=REGISTER {datanodeDetails=7359d79c-a308-41a2-b591-63e1620e32e7{ip: 172.20.0.5, host: 12b3ece59ca8, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-06-22 08:38:37,020 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=REGISTER {datanodeDetails=b89efc6d-7472-423a-976a-f1525a889aa3{ip: 172.20.0.9, host: b189cdb37b8f, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-06-22 08:38:38,212 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=REGISTER {datanodeDetails=387acfa3-4677-4ee6-a8f7-8806d41030cc{ip: 172.20.0.11, host: f2bea0ee412a, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-06-22 08:38:38,304 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "75e5d1a3-5198-45a8-8c57-27e665e9fafb" uuid128 { mostSigBits: 8495426771483116968 leastSigBits: -8334148714920019205 } } type: RATIS factor: ONE datanode { uuid: "7359d79c-a308-41a2-b591-63e1620e32e7" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "7359d79c-a308-41a2-b591-63e1620e32e7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8311911655039058338 leastSigBits: -5363395861557660953 } } cmdId: 1687423116593 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "04a23e87-0fa9-48c2-9a0a-96d39eefa696" uuid128 { mostSigBits: 333898072183097538 leastSigBits: -7346894006452771178 } } type: RATIS factor: THREE datanode { uuid: "387acfa3-4677-4ee6-a8f7-8806d41030cc" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "387acfa3-4677-4ee6-a8f7-8806d41030cc" networkLocation: "/default-rack" uuid128 { mostSigBits: 4069793513451507430 leastSigBits: -6271394393181114164 } } datanode { uuid: "7359d79c-a308-41a2-b591-63e1620e32e7" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "7359d79c-a308-41a2-b591-63e1620e32e7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8311911655039058338 leastSigBits: -5363395861557660953 } } datanode { uuid: "b89efc6d-7472-423a-976a-f1525a889aa3" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "b89efc6d-7472-423a-976a-f1525a889aa3" networkLocation: "/default-rack" uuid128 { mostSigBits: -5143396177375247814 leastSigBits: -7535945690442589533 } } cmdId: 1687423116596 } ]} | ret=SUCCESS |  
2023-06-22 08:38:38,848 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "11dccb04-a62e-47fe-9b28-df01e0140de8" uuid128 { mostSigBits: 1287126814349477886 leastSigBits: -7266312799614923288 } } type: RATIS factor: ONE datanode { uuid: "b89efc6d-7472-423a-976a-f1525a889aa3" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "b89efc6d-7472-423a-976a-f1525a889aa3" networkLocation: "/default-rack" uuid128 { mostSigBits: -5143396177375247814 leastSigBits: -7535945690442589533 } } cmdId: 1687423116594 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "04a23e87-0fa9-48c2-9a0a-96d39eefa696" uuid128 { mostSigBits: 333898072183097538 leastSigBits: -7346894006452771178 } } type: RATIS factor: THREE datanode { uuid: "387acfa3-4677-4ee6-a8f7-8806d41030cc" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "387acfa3-4677-4ee6-a8f7-8806d41030cc" networkLocation: "/default-rack" uuid128 { mostSigBits: 4069793513451507430 leastSigBits: -6271394393181114164 } } datanode { uuid: "7359d79c-a308-41a2-b591-63e1620e32e7" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "7359d79c-a308-41a2-b591-63e1620e32e7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8311911655039058338 leastSigBits: -5363395861557660953 } } datanode { uuid: "b89efc6d-7472-423a-976a-f1525a889aa3" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "b89efc6d-7472-423a-976a-f1525a889aa3" networkLocation: "/default-rack" uuid128 { mostSigBits: -5143396177375247814 leastSigBits: -7535945690442589533 } } cmdId: 1687423116596 } ]} | ret=SUCCESS |  
2023-06-22 08:38:39,254 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:39,425 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=7359d79c-a308-41a2-b591-63e1620e32e7, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:39,978 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:40,725 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=387acfa3-4677-4ee6-a8f7-8806d41030cc, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "214dfd40-4b1d-42e9-915f-426d7b30e994" uuid128 { mostSigBits: 2399852629038285545 leastSigBits: -7971579777436817004 } } type: RATIS factor: ONE datanode { uuid: "387acfa3-4677-4ee6-a8f7-8806d41030cc" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "387acfa3-4677-4ee6-a8f7-8806d41030cc" networkLocation: "/default-rack" uuid128 { mostSigBits: 4069793513451507430 leastSigBits: -6271394393181114164 } } cmdId: 1687423116595 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "04a23e87-0fa9-48c2-9a0a-96d39eefa696" uuid128 { mostSigBits: 333898072183097538 leastSigBits: -7346894006452771178 } } type: RATIS factor: THREE datanode { uuid: "387acfa3-4677-4ee6-a8f7-8806d41030cc" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "387acfa3-4677-4ee6-a8f7-8806d41030cc" networkLocation: "/default-rack" uuid128 { mostSigBits: 4069793513451507430 leastSigBits: -6271394393181114164 } } datanode { uuid: "7359d79c-a308-41a2-b591-63e1620e32e7" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "7359d79c-a308-41a2-b591-63e1620e32e7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8311911655039058338 leastSigBits: -5363395861557660953 } } datanode { uuid: "b89efc6d-7472-423a-976a-f1525a889aa3" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "b89efc6d-7472-423a-976a-f1525a889aa3" networkLocation: "/default-rack" uuid128 { mostSigBits: -5143396177375247814 leastSigBits: -7535945690442589533 } } cmdId: 1687423116596 } ]} | ret=SUCCESS |  
2023-06-22 08:38:40,849 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b89efc6d-7472-423a-976a-f1525a889aa3, command=[]} | ret=SUCCESS |  
2023-06-22 08:38:41,276 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=387acfa3-4677-4ee6-a8f7-8806d41030cc, command=[]} | ret=SUCCESS |  
