2023-07-06 16:25:35,208 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2023-07-06 16:25:35,244 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2023-07-06 16:25:37,710 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=d7c54892-5d1c-4280-81f7-6b37d0fc011f(56ab092c3d11/172.25.0.102)} | ret=SUCCESS |  
2023-07-06 16:25:38,181 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=c432535f-b414-4104-9b34-008a23d79484(c8150587f581/172.25.0.103)} | ret=SUCCESS |  
2023-07-06 16:25:39,208 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, command=[]} | ret=SUCCESS |  
2023-07-06 16:25:39,822 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:25:41,355 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2023-07-06 16:25:42,843 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:25:44,814 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef(ozonesecure-ha_datanode3_1.ozonesecure-ha_ozone_net/172.25.0.104)} | ret=SUCCESS |  
2023-07-06 16:25:46,811 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, command=[]} | ret=SUCCESS |  
2023-07-06 16:25:48,602 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:25:49,587 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, command=[]} | ret=SUCCESS |  
2023-07-06 16:25:50,298 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, command=[]} | ret=SUCCESS |  
2023-07-06 16:25:55,401 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, command=[]} | ret=SUCCESS |  
2023-07-06 16:25:59,730 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:01,113 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:01,432 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:01,863 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:02,340 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:08,326 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:10,418 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:11,254 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:16,878 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:31,538 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:38,401 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:26:46,957 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, command=[]} | ret=SUCCESS |  
2023-07-06 16:27:01,624 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, command=[]} | ret=SUCCESS |  
2023-07-06 16:27:08,343 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:27:16,930 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, command=[]} | ret=SUCCESS |  
2023-07-06 16:27:31,616 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, command=[]} | ret=SUCCESS |  
2023-07-06 16:27:38,381 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, command=[]} | ret=SUCCESS |  
2023-07-06 16:27:45,740 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-07-06 16:27:47,061 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:28:01,594 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:28:08,397 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:28:13,907 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_PIPELINE null | ret=SUCCESS |  
2023-07-06 16:28:17,007 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:28:21,285 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-07-06 16:28:27,455 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-07-06 16:28:31,517 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:28:34,186 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=DEACTIVATE_PIPELINE null | ret=SUCCESS |  
2023-07-06 16:28:38,324 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:28:41,405 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-07-06 16:28:46,948 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:28:50,651 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=ACTIVATE_PIPELINE null | ret=SUCCESS |  
2023-07-06 16:28:56,432 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-07-06 16:29:01,606 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:29:03,666 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CLOSE_PIPELINE {pipelineID=cba3b9b7-c74c-4299-b198-85a48d42e33e} | ret=SUCCESS |  
2023-07-06 16:29:08,354 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:29:10,123 | INFO  | SCMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-07-06 16:29:16,936 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=d7c54892-5d1c-4280-81f7-6b37d0fc011f, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:29:31,626 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=178238d5-5cd7-4536-ae9a-edcd5ca2e5ef, term=3, command=[]} | ret=SUCCESS |  
2023-07-06 16:29:31,714 | INFO  | SCMAudit | user=scm/scm@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-07-06 16:29:38,385 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c432535f-b414-4104-9b34-008a23d79484, term=3, command=[]} | ret=SUCCESS |  
