2023-07-18 19:52:52,125 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=REGISTER {datanodeDetails=536c968e-5c88-4f08-9d5f-2118f40b5348{ip: 172.20.0.9, host: 0037edaf59d1, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-07-18 19:52:52,503 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=REGISTER {datanodeDetails=483c21d4-7890-4b04-ba7d-a9288fa31ef2{ip: 172.20.0.7, host: 431c6a3b10ae, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-07-18 19:52:52,892 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=REGISTER {datanodeDetails=751ccffe-86f9-40ce-9854-d9719020cdc1{ip: 172.20.0.3, host: fa362c36aa32, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-07-18 19:52:54,095 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a8d5fb20-06c3-4b75-83df-5248ee352fb2" uuid128 { mostSigBits: -6280837990327301259 leastSigBits: -8944339861746929742 } } type: RATIS factor: ONE datanode { uuid: "536c968e-5c88-4f08-9d5f-2118f40b5348" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "536c968e-5c88-4f08-9d5f-2118f40b5348" networkLocation: "/default-rack" uuid128 { mostSigBits: 6011345140814728968 leastSigBits: -7106925295910038712 } } cmdId: 1689709972129 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5ff16092-0b74-4d3c-91f9-41cad0506493" uuid128 { mostSigBits: 6913413083364085052 leastSigBits: -7928233329674918765 } } type: RATIS factor: THREE datanode { uuid: "751ccffe-86f9-40ce-9854-d9719020cdc1" ipAddress: "172.20.0.3" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "751ccffe-86f9-40ce-9854-d9719020cdc1" networkLocation: "/default-rack" uuid128 { mostSigBits: 8438848493878591694 leastSigBits: -7470106800128209471 } } datanode { uuid: "536c968e-5c88-4f08-9d5f-2118f40b5348" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "536c968e-5c88-4f08-9d5f-2118f40b5348" networkLocation: "/default-rack" uuid128 { mostSigBits: 6011345140814728968 leastSigBits: -7106925295910038712 } } datanode { uuid: "483c21d4-7890-4b04-ba7d-a9288fa31ef2" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "483c21d4-7890-4b04-ba7d-a9288fa31ef2" networkLocation: "/default-rack" uuid128 { mostSigBits: 5205072465772956420 leastSigBits: -5008661218892505358 } } cmdId: 1689709972132 } ]} | ret=SUCCESS |  
2023-07-18 19:52:54,457 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=483c21d4-7890-4b04-ba7d-a9288fa31ef2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6e7aa881-5a0e-4f1b-a2f7-44877f43c560" uuid128 { mostSigBits: 7960860564845907739 leastSigBits: -6703814171571272352 } } type: RATIS factor: ONE datanode { uuid: "483c21d4-7890-4b04-ba7d-a9288fa31ef2" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "483c21d4-7890-4b04-ba7d-a9288fa31ef2" networkLocation: "/default-rack" uuid128 { mostSigBits: 5205072465772956420 leastSigBits: -5008661218892505358 } } cmdId: 1689709972130 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5ff16092-0b74-4d3c-91f9-41cad0506493" uuid128 { mostSigBits: 6913413083364085052 leastSigBits: -7928233329674918765 } } type: RATIS factor: THREE datanode { uuid: "751ccffe-86f9-40ce-9854-d9719020cdc1" ipAddress: "172.20.0.3" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "751ccffe-86f9-40ce-9854-d9719020cdc1" networkLocation: "/default-rack" uuid128 { mostSigBits: 8438848493878591694 leastSigBits: -7470106800128209471 } } datanode { uuid: "536c968e-5c88-4f08-9d5f-2118f40b5348" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "536c968e-5c88-4f08-9d5f-2118f40b5348" networkLocation: "/default-rack" uuid128 { mostSigBits: 6011345140814728968 leastSigBits: -7106925295910038712 } } datanode { uuid: "483c21d4-7890-4b04-ba7d-a9288fa31ef2" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "483c21d4-7890-4b04-ba7d-a9288fa31ef2" networkLocation: "/default-rack" uuid128 { mostSigBits: 5205072465772956420 leastSigBits: -5008661218892505358 } } cmdId: 1689709972132 } ]} | ret=SUCCESS |  
2023-07-18 19:52:54,935 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=751ccffe-86f9-40ce-9854-d9719020cdc1, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "261a35e9-ed27-4ad4-85f6-823d6097bf3f" uuid128 { mostSigBits: 2745566201658165972 leastSigBits: -8793698022269141185 } } type: RATIS factor: ONE datanode { uuid: "751ccffe-86f9-40ce-9854-d9719020cdc1" ipAddress: "172.20.0.3" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "751ccffe-86f9-40ce-9854-d9719020cdc1" networkLocation: "/default-rack" uuid128 { mostSigBits: 8438848493878591694 leastSigBits: -7470106800128209471 } } cmdId: 1689709972131 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "5ff16092-0b74-4d3c-91f9-41cad0506493" uuid128 { mostSigBits: 6913413083364085052 leastSigBits: -7928233329674918765 } } type: RATIS factor: THREE datanode { uuid: "751ccffe-86f9-40ce-9854-d9719020cdc1" ipAddress: "172.20.0.3" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "751ccffe-86f9-40ce-9854-d9719020cdc1" networkLocation: "/default-rack" uuid128 { mostSigBits: 8438848493878591694 leastSigBits: -7470106800128209471 } } datanode { uuid: "536c968e-5c88-4f08-9d5f-2118f40b5348" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "536c968e-5c88-4f08-9d5f-2118f40b5348" networkLocation: "/default-rack" uuid128 { mostSigBits: 6011345140814728968 leastSigBits: -7106925295910038712 } } datanode { uuid: "483c21d4-7890-4b04-ba7d-a9288fa31ef2" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "483c21d4-7890-4b04-ba7d-a9288fa31ef2" networkLocation: "/default-rack" uuid128 { mostSigBits: 5205072465772956420 leastSigBits: -5008661218892505358 } } cmdId: 1689709972132 } ]} | ret=SUCCESS |  
2023-07-18 19:52:55,082 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[]} | ret=SUCCESS |  
2023-07-18 19:52:55,222 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[]} | ret=SUCCESS |  
2023-07-18 19:52:55,502 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=483c21d4-7890-4b04-ba7d-a9288fa31ef2, command=[]} | ret=SUCCESS |  
2023-07-18 19:52:55,700 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=483c21d4-7890-4b04-ba7d-a9288fa31ef2, command=[]} | ret=SUCCESS |  
2023-07-18 19:52:55,881 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=751ccffe-86f9-40ce-9854-d9719020cdc1, command=[]} | ret=SUCCESS |  
2023-07-18 19:52:56,081 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=751ccffe-86f9-40ce-9854-d9719020cdc1, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:00,385 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:00,418 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=536c968e-5c88-4f08-9d5f-2118f40b5348, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:00,733 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=483c21d4-7890-4b04-ba7d-a9288fa31ef2, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:01,384 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=751ccffe-86f9-40ce-9854-d9719020cdc1, command=[]} | ret=SUCCESS |  
2023-07-18 19:53:03,728 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=fb590f51-297c-410c-8cb8-2a59812d59e4, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
