2023-07-23 03:21:23,427 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-07-23 03:21:23,433 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-07-23 03:21:23,433 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-07-23 03:21:24,041 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=REGISTER {datanodeDetails=432dd781-750e-443c-9232-aafd92b2c1c7{ip: 172.23.0.13, host: 998ea1c57450, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-07-23 03:21:24,548 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-07-23 03:21:24,796 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-07-23 03:21:24,885 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-07-23 03:21:25,139 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-07-23 03:21:25,258 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=REGISTER {datanodeDetails=89cdbea0-2f98-4d88-9bd3-0283526bf8e4{ip: 172.23.0.11, host: 04e98be8d13e, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-07-23 03:21:25,568 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=REGISTER {datanodeDetails=31894967-3dcb-44a2-ad0f-34e5c12f5007{ip: 172.23.0.6, host: de4c193b7405, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-07-23 03:21:26,026 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=432dd781-750e-443c-9232-aafd92b2c1c7, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c6795bdc-7c17-4831-9e25-2c8b72bfa10e" uuid128 { mostSigBits: -4145180979484997583 leastSigBits: -7051180664141405938 } } type: RATIS factor: ONE datanode { uuid: "432dd781-750e-443c-9232-aafd92b2c1c7" ipAddress: "172.23.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "432dd781-750e-443c-9232-aafd92b2c1c7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4840762125507773500 leastSigBits: -7912073589271903801 } } cmdId: 1690082484051 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ef682656-c621-4fac-8e85-c7a52ed39975" uuid128 { mostSigBits: -1195663546933751892 leastSigBits: -8176910036152116875 } } type: RATIS factor: THREE datanode { uuid: "31894967-3dcb-44a2-ad0f-34e5c12f5007" ipAddress: "172.23.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "31894967-3dcb-44a2-ad0f-34e5c12f5007" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3569464887435019426 leastSigBits: -5976500019104100345 } } datanode { uuid: "432dd781-750e-443c-9232-aafd92b2c1c7" ipAddress: "172.23.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "432dd781-750e-443c-9232-aafd92b2c1c7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4840762125507773500 leastSigBits: -7912073589271903801 } } datanode { uuid: "89cdbea0-2f98-4d88-9bd3-0283526bf8e4" ipAddress: "172.23.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "89cdbea0-2f98-4d88-9bd3-0283526bf8e4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8516941725085184632 leastSigBits: -7218423014697994012 } } cmdId: 1690082484054 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6b8ae2c7-ee55-466f-9485-8dd5f1b011e0" uuid128 { mostSigBits: 7749255457169294959 leastSigBits: -7744628034171301408 } } type: RATIS factor: THREE datanode { uuid: "31894967-3dcb-44a2-ad0f-34e5c12f5007" ipAddress: "172.23.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "31894967-3dcb-44a2-ad0f-34e5c12f5007" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3569464887435019426 leastSigBits: -5976500019104100345 } } datanode { uuid: "89cdbea0-2f98-4d88-9bd3-0283526bf8e4" ipAddress: "172.23.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "89cdbea0-2f98-4d88-9bd3-0283526bf8e4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8516941725085184632 leastSigBits: -7218423014697994012 } } datanode { uuid: "432dd781-750e-443c-9232-aafd92b2c1c7" ipAddress: "172.23.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "432dd781-750e-443c-9232-aafd92b2c1c7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4840762125507773500 leastSigBits: -7912073589271903801 } } cmdId: 1690082484055 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
