2023-08-30 20:52:50,149 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 20:52:50,152 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 20:52:50,155 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 20:52:50,374 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-08-30 20:52:50,379 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-08-30 20:52:50,392 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-08-30 20:52:51,473 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-08-30 20:52:51,989 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=bb0ef6a8-bbf6-4ca0-9f7f-22031db93b8a(b6a3684be3ee/10.9.0.13)} | ret=SUCCESS |  
2023-08-30 20:52:51,988 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=0997a6af-094f-4ef0-aa9a-7d03a0c15f2b(66d340d3cd2f/10.9.0.12)} | ret=SUCCESS |  
2023-08-30 20:52:52,231 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=9c1cf247-92fc-4bde-9aba-4ac9de84126a(cf6e9e000a2f/10.9.0.11)} | ret=SUCCESS |  
2023-08-30 20:52:52,855 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-08-30 20:52:53,860 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-08-30 20:52:53,930 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=bb0ef6a8-bbf6-4ca0-9f7f-22031db93b8a, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ae0e1d85-7586-46d1-a4dd-01bb9ae0643d" uuid128 { mostSigBits: -5904749602396551471 leastSigBits: -6567090776367406019 } } type: RATIS factor: THREE datanode { uuid: "0997a6af-094f-4ef0-aa9a-7d03a0c15f2b" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0997a6af-094f-4ef0-aa9a-7d03a0c15f2b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 691204338530340592 leastSigBits: -6153468486312960213 } } datanode { uuid: "bb0ef6a8-bbf6-4ca0-9f7f-22031db93b8a" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bb0ef6a8-bbf6-4ca0-9f7f-22031db93b8a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4967762134374658912 leastSigBits: -6953801902857831542 } } datanode { uuid: "9c1cf247-92fc-4bde-9aba-4ac9de84126a" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9c1cf247-92fc-4bde-9aba-4ac9de84126a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7197611715222287394 leastSigBits: -7297438015318388118 } } cmdId: 1693428772083 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "57c05011-5a0e-4264-a106-29bdc160003c" uuid128 { mostSigBits: 6323141912283726436 leastSigBits: -6843736688773038020 } } type: RATIS factor: THREE datanode { uuid: "9c1cf247-92fc-4bde-9aba-4ac9de84126a" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9c1cf247-92fc-4bde-9aba-4ac9de84126a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7197611715222287394 leastSigBits: -7297438015318388118 } } datanode { uuid: "bb0ef6a8-bbf6-4ca0-9f7f-22031db93b8a" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bb0ef6a8-bbf6-4ca0-9f7f-22031db93b8a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4967762134374658912 leastSigBits: -6953801902857831542 } } datanode { uuid: "0997a6af-094f-4ef0-aa9a-7d03a0c15f2b" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0997a6af-094f-4ef0-aa9a-7d03a0c15f2b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 691204338530340592 leastSigBits: -6153468486312960213 } } cmdId: 1693428772085 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c8dac0ab-3a38-458b-9092-f1ce92f80d8b" uuid128 { mostSigBits: -3973651879552334453 leastSigBits: -8029089316116886133 } } type: RATIS factor: ONE datanode { uuid: "bb0ef6a8-bbf6-4ca0-9f7f-22031db93b8a" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bb0ef6a8-bbf6-4ca0-9f7f-22031db93b8a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4967762134374658912 leastSigBits: -6953801902857831542 } } cmdId: 1693428772086 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
