2023-08-30 21:07:58,893 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 21:07:58,899 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 21:07:58,886 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 21:07:58,891 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 21:07:58,886 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 21:07:58,902 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-08-30 21:07:59,766 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-08-30 21:08:00,784 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-08-30 21:08:01,701 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=REGISTER {datanodeDetails=12fd1078-ecfd-4305-b34c-ad7f74775885(4418bd2bf44e/172.19.0.11)} | ret=SUCCESS |  
2023-08-30 21:08:01,745 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=REGISTER {datanodeDetails=894b5ae4-818e-4420-9911-71925fd308a5(fbb83df5b35f/172.19.0.9)} | ret=SUCCESS |  
2023-08-30 21:08:01,782 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=REGISTER {datanodeDetails=efeab271-27ef-47b5-9294-743b4a13aab4(452c8c6ee5d5/172.19.0.10)} | ret=SUCCESS |  
2023-08-30 21:08:02,733 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=IN_SAFE_MODE null | ret=SUCCESS |  
