2023-08-31 18:18:14,373 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol1, creationTime=1693505894343, modificationTime=1693505894343, quotaInBytes=1152921504606846976, objectID=256, updateID=1} | ret=SUCCESS |  
2023-08-31 18:18:14,429 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=CREATE_BUCKET {volume=vol1, bucket=bucket1, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1693505894421, bucketEncryptionKey=null, modificationTime=1693505894421} | ret=SUCCESS |  
2023-08-31 18:18:14,525 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-08-31 18:18:16,496 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-08-31 18:18:23,365 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.4.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-08-31 18:18:25,045 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.4.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-08-31 18:18:28,572 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.4.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-08-31 18:18:32,120 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-08-31 18:18:33,434 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-08-31 18:18:33,557 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.4.0/file-1.4.0._COPYING_, dstKey=dir-1.4.0/file-1.4.0} | ret=SUCCESS |  
2023-08-31 18:18:49,136 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-08-31 18:18:54,728 | INFO  | OMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-08-31 18:18:56,217 | INFO  | OMAudit | user=hadoop | ip=172.20.0.10 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-08-31 18:18:58,234 | INFO  | OMAudit | user=hadoop | ip=172.20.0.10 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.0.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-08-31 18:19:00,024 | INFO  | OMAudit | user=hadoop | ip=172.20.0.10 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-08-31 18:19:01,026 | INFO  | OMAudit | user=hadoop | ip=172.20.0.10 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-08-31 18:19:01,067 | INFO  | OMAudit | user=hadoop | ip=172.20.0.10 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.0.0/file-1.0.0._COPYING_, dstKey=dir-1.0.0/file-1.0.0} | ret=SUCCESS |  
2023-08-31 18:19:10,499 | INFO  | OMAudit | user=hadoop | ip=172.20.0.10 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-08-31 18:19:21,058 | INFO  | OMAudit | user=hadoop | ip=172.20.0.10 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-08-31 18:19:37,024 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
