2023-09-06 18:18:09,539 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:18:09,538 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:18:09,538 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:18:09,538 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:18:09,538 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:18:09,538 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:18:10,382 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-06 18:18:10,408 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=REGISTER {datanodeDetails=3459dc2c-aa2d-4370-908c-7cfcbba6fb5b{ip: 172.23.0.7, host: df7c77bd79a8, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-09-06 18:18:10,782 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-06 18:18:10,963 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=REGISTER {datanodeDetails=85d0079e-3a02-4ca3-9eec-bf95c140bd82{ip: 172.23.0.9, host: 5874702aa4c9, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-09-06 18:18:11,054 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-09-06 18:18:11,392 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-09-06 18:18:11,442 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=REGISTER {datanodeDetails=f189e9bc-5d49-4509-9878-e7948881fd8c{ip: 172.23.0.6, host: b8e7670fb80f, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-09-06 18:18:12,147 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-06 18:18:12,411 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=3459dc2c-aa2d-4370-908c-7cfcbba6fb5b, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0316cd56-78f0-4c66-a284-e53d2288b0dc" uuid128 { mostSigBits: 222591002881313894 leastSigBits: -6736007091904270116 } } type: RATIS factor: ONE datanode { uuid: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3772288247291265904 leastSigBits: -8030906610586551461 } } cmdId: 1694024290410 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "94f3074b-74e8-49ab-a12b-63a10d2420a6" uuid128 { mostSigBits: -7713813716090205781 leastSigBits: -6833258466243239770 } } type: RATIS factor: THREE datanode { uuid: "f189e9bc-5d49-4509-9878-e7948881fd8c" ipAddress: "172.23.0.6" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f189e9bc-5d49-4509-9878-e7948881fd8c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1042044843531352823 leastSigBits: -7459958157607830132 } } datanode { uuid: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3772288247291265904 leastSigBits: -8030906610586551461 } } datanode { uuid: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8804528895349863261 leastSigBits: -6995005471299945086 } } cmdId: 1694024290413 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d2edb31d-a6b7-4a7d-a3fa-4026ae033fa6" uuid128 { mostSigBits: -3247742816331806083 leastSigBits: -6630916966477250650 } } type: RATIS factor: THREE datanode { uuid: "f189e9bc-5d49-4509-9878-e7948881fd8c" ipAddress: "172.23.0.6" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f189e9bc-5d49-4509-9878-e7948881fd8c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1042044843531352823 leastSigBits: -7459958157607830132 } } datanode { uuid: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8804528895349863261 leastSigBits: -6995005471299945086 } } datanode { uuid: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3772288247291265904 leastSigBits: -8030906610586551461 } } cmdId: 1694024290414 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2023-09-06 18:18:12,876 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=SEND_HEARTBEAT {datanodeUUID=85d0079e-3a02-4ca3-9eec-bf95c140bd82, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ab549257-e6fa-4563-98e2-c3da368c0086" uuid128 { mostSigBits: -6101090688945207965 leastSigBits: -7430161093222465402 } } type: RATIS factor: ONE datanode { uuid: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8804528895349863261 leastSigBits: -6995005471299945086 } } cmdId: 1694024290411 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "94f3074b-74e8-49ab-a12b-63a10d2420a6" uuid128 { mostSigBits: -7713813716090205781 leastSigBits: -6833258466243239770 } } type: RATIS factor: THREE datanode { uuid: "f189e9bc-5d49-4509-9878-e7948881fd8c" ipAddress: "172.23.0.6" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f189e9bc-5d49-4509-9878-e7948881fd8c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1042044843531352823 leastSigBits: -7459958157607830132 } } datanode { uuid: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3772288247291265904 leastSigBits: -8030906610586551461 } } datanode { uuid: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8804528895349863261 leastSigBits: -6995005471299945086 } } cmdId: 1694024290413 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d2edb31d-a6b7-4a7d-a3fa-4026ae033fa6" uuid128 { mostSigBits: -3247742816331806083 leastSigBits: -6630916966477250650 } } type: RATIS factor: THREE datanode { uuid: "f189e9bc-5d49-4509-9878-e7948881fd8c" ipAddress: "172.23.0.6" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f189e9bc-5d49-4509-9878-e7948881fd8c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1042044843531352823 leastSigBits: -7459958157607830132 } } datanode { uuid: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" ipAddress: "172.23.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "85d0079e-3a02-4ca3-9eec-bf95c140bd82" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8804528895349863261 leastSigBits: -6995005471299945086 } } datanode { uuid: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" ipAddress: "172.23.0.7" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3459dc2c-aa2d-4370-908c-7cfcbba6fb5b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3772288247291265904 leastSigBits: -8030906610586551461 } } cmdId: 1694024290414 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2023-09-06 18:18:13,150 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
