2023-09-06 18:03:08,699 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:03:08,707 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:03:08,716 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:03:08,718 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:03:08,718 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:03:08,720 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 18:03:09,801 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-06 18:03:10,709 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=REGISTER {datanodeDetails=f7a61a67-c950-4e58-9532-53eabdca6d7c(d1f0a8569954/172.19.0.5)} | ret=SUCCESS |  
2023-09-06 18:03:11,176 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=REGISTER {datanodeDetails=b0822029-b1ce-47cc-9c41-d80852540397(9218df2dc059/172.19.0.8)} | ret=SUCCESS |  
2023-09-06 18:03:11,616 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=REGISTER {datanodeDetails=8d9ed120-3f21-43de-9ecb-d1df583d9ee9(f22c5ca8c6fc/172.19.0.3)} | ret=SUCCESS |  
2023-09-06 18:03:11,934 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-09-06 18:03:13,294 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=SEND_HEARTBEAT {datanodeUUID=f7a61a67-c950-4e58-9532-53eabdca6d7c, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b911936a-eb10-47a7-8e22-d1be3f3e0822" uuid128 { mostSigBits: -5111142014669273177 leastSigBits: -8204764956080601054 } } type: RATIS factor: ONE datanode { uuid: "f7a61a67-c950-4e58-9532-53eabdca6d7c" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f7a61a67-c950-4e58-9532-53eabdca6d7c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -601764467145945512 leastSigBits: -7695996545551143556 } } cmdId: 1694023390741 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6f0eb9c6-3075-4c29-a3f7-b801856042ab" uuid128 { mostSigBits: 8002537848751606825 leastSigBits: -6631629609607609685 } } type: RATIS factor: THREE datanode { uuid: "8d9ed120-3f21-43de-9ecb-d1df583d9ee9" ipAddress: "172.19.0.3" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "8d9ed120-3f21-43de-9ecb-d1df583d9ee9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8241920331613125666 leastSigBits: -7004274038256328983 } } datanode { uuid: "f7a61a67-c950-4e58-9532-53eabdca6d7c" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f7a61a67-c950-4e58-9532-53eabdca6d7c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -601764467145945512 leastSigBits: -7695996545551143556 } } datanode { uuid: "b0822029-b1ce-47cc-9c41-d80852540397" ipAddress: "172.19.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b0822029-b1ce-47cc-9c41-d80852540397" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5727980412613015604 leastSigBits: -7187226000054025321 } } cmdId: 1694023390742 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ada4c3cb-e01d-4b0e-9032-a15dfd340445" uuid128 { mostSigBits: -5934403128561677554 leastSigBits: -8056199358360320955 } } type: RATIS factor: THREE datanode { uuid: "f7a61a67-c950-4e58-9532-53eabdca6d7c" ipAddress: "172.19.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f7a61a67-c950-4e58-9532-53eabdca6d7c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -601764467145945512 leastSigBits: -7695996545551143556 } } datanode { uuid: "b0822029-b1ce-47cc-9c41-d80852540397" ipAddress: "172.19.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b0822029-b1ce-47cc-9c41-d80852540397" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5727980412613015604 leastSigBits: -7187226000054025321 } } datanode { uuid: "8d9ed120-3f21-43de-9ecb-d1df583d9ee9" ipAddress: "172.19.0.3" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "8d9ed120-3f21-43de-9ecb-d1df583d9ee9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8241920331613125666 leastSigBits: -7004274038256328983 } } cmdId: 1694023390744 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
