2023-09-13 07:25:30,589 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 07:25:30,621 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 07:25:30,621 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 07:25:30,621 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 07:25:30,621 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 07:25:30,622 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 07:25:31,766 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-13 07:25:33,623 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=REGISTER {datanodeDetails=2addd818-3352-40fa-ab09-1d675abd300f(89badc0bf772/172.19.0.10)} | ret=SUCCESS |  
2023-09-13 07:25:34,143 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=REGISTER {datanodeDetails=8dc13db2-39b6-4427-b401-5741291b0ecd(50ca10c27e6f/172.19.0.5)} | ret=SUCCESS |  
2023-09-13 07:25:34,480 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=REGISTER {datanodeDetails=f8bc4362-4db8-4e4d-a75b-7db7f1398196(7770d8489424/172.19.0.11)} | ret=SUCCESS |  
2023-09-13 07:25:35,148 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=LIST_PIPELINE null | ret=SUCCESS |  
