2023-09-13 07:35:43,730 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=REGISTER {datanodeDetails=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2{ip: 172.20.0.8, host: 6370d3eb1719, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-09-13 07:35:44,136 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=REGISTER {datanodeDetails=0a66ed2d-7339-466c-8de2-d6843d780cee{ip: 172.20.0.4, host: dce9f8c5e689, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-09-13 07:35:44,579 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=REGISTER {datanodeDetails=a2d6c876-5913-427b-932a-ef2fe35fb527{ip: 172.20.0.12, host: 9ecf6d27f4b4, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-09-13 07:35:45,773 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6f6fae78-403c-44c1-b0ee-e0cf28e1c6f8" uuid128 { mostSigBits: 8029828492121883841 leastSigBits: -5697369298228361480 } } type: RATIS factor: ONE datanode { uuid: "8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2" networkLocation: "/default-rack" uuid128 { mostSigBits: -8453337212813816160 leastSigBits: -8520049014959350046 } } cmdId: 1694590543743 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cc0b414f-3672-4514-870a-6fcbaeff9532" uuid128 { mostSigBits: -3743826856756755180 leastSigBits: -8716031208217144014 } } type: RATIS factor: THREE datanode { uuid: "a2d6c876-5913-427b-932a-ef2fe35fb527" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "a2d6c876-5913-427b-932a-ef2fe35fb527" networkLocation: "/default-rack" uuid128 { mostSigBits: -6712957783923015045 leastSigBits: -7842192812155095769 } } datanode { uuid: "8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2" networkLocation: "/default-rack" uuid128 { mostSigBits: -8453337212813816160 leastSigBits: -8520049014959350046 } } datanode { uuid: "0a66ed2d-7339-466c-8de2-d6843d780cee" ipAddress: "172.20.0.4" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "0a66ed2d-7339-466c-8de2-d6843d780cee" networkLocation: "/default-rack" uuid128 { mostSigBits: 749547167466210924 leastSigBits: -8222774106169799442 } } cmdId: 1694590543746 } ]} | ret=SUCCESS |  
2023-09-13 07:35:46,202 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "be3dca59-241a-4943-bcda-d3e2a5f95083" uuid128 { mostSigBits: -4738408748717291197 leastSigBits: -4838321879255527293 } } type: RATIS factor: ONE datanode { uuid: "0a66ed2d-7339-466c-8de2-d6843d780cee" ipAddress: "172.20.0.4" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "0a66ed2d-7339-466c-8de2-d6843d780cee" networkLocation: "/default-rack" uuid128 { mostSigBits: 749547167466210924 leastSigBits: -8222774106169799442 } } cmdId: 1694590543744 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cc0b414f-3672-4514-870a-6fcbaeff9532" uuid128 { mostSigBits: -3743826856756755180 leastSigBits: -8716031208217144014 } } type: RATIS factor: THREE datanode { uuid: "a2d6c876-5913-427b-932a-ef2fe35fb527" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "a2d6c876-5913-427b-932a-ef2fe35fb527" networkLocation: "/default-rack" uuid128 { mostSigBits: -6712957783923015045 leastSigBits: -7842192812155095769 } } datanode { uuid: "8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2" networkLocation: "/default-rack" uuid128 { mostSigBits: -8453337212813816160 leastSigBits: -8520049014959350046 } } datanode { uuid: "0a66ed2d-7339-466c-8de2-d6843d780cee" ipAddress: "172.20.0.4" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "0a66ed2d-7339-466c-8de2-d6843d780cee" networkLocation: "/default-rack" uuid128 { mostSigBits: 749547167466210924 leastSigBits: -8222774106169799442 } } cmdId: 1694590543746 } ]} | ret=SUCCESS |  
2023-09-13 07:35:46,650 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cb526230-e7de-405a-a3fc-092a4ace83c7" uuid128 { mostSigBits: -3795863573731852198 leastSigBits: -6630414474147888185 } } type: RATIS factor: ONE datanode { uuid: "a2d6c876-5913-427b-932a-ef2fe35fb527" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "a2d6c876-5913-427b-932a-ef2fe35fb527" networkLocation: "/default-rack" uuid128 { mostSigBits: -6712957783923015045 leastSigBits: -7842192812155095769 } } cmdId: 1694590543745 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cc0b414f-3672-4514-870a-6fcbaeff9532" uuid128 { mostSigBits: -3743826856756755180 leastSigBits: -8716031208217144014 } } type: RATIS factor: THREE datanode { uuid: "a2d6c876-5913-427b-932a-ef2fe35fb527" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "a2d6c876-5913-427b-932a-ef2fe35fb527" networkLocation: "/default-rack" uuid128 { mostSigBits: -6712957783923015045 leastSigBits: -7842192812155095769 } } datanode { uuid: "8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2" networkLocation: "/default-rack" uuid128 { mostSigBits: -8453337212813816160 leastSigBits: -8520049014959350046 } } datanode { uuid: "0a66ed2d-7339-466c-8de2-d6843d780cee" ipAddress: "172.20.0.4" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "0a66ed2d-7339-466c-8de2-d6843d780cee" networkLocation: "/default-rack" uuid128 { mostSigBits: 749547167466210924 leastSigBits: -8222774106169799442 } } cmdId: 1694590543746 } ]} | ret=SUCCESS |  
2023-09-13 07:35:46,766 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:46,992 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8aafb697-b7a4-4ea0-89c2-b48fe26e5ee2, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:47,387 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:47,728 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=0a66ed2d-7339-466c-8de2-d6843d780cee, command=[]} | ret=SUCCESS |  
2023-09-13 07:35:47,867 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a2d6c876-5913-427b-932a-ef2fe35fb527, command=[]} | ret=SUCCESS |  
