2023-09-13 09:06:14,117 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 09:06:14,124 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 09:06:14,132 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 09:06:15,307 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-13 09:06:15,333 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-13 09:06:15,336 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-13 09:06:19,220 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=01fd82bc-3401-41f8-8268-fb6cebd88e51(15137a4ee744/10.9.0.13)} | ret=SUCCESS |  
2023-09-13 09:06:19,291 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=bbeb938c-6650-42aa-9bcd-8a902139fd46(3f868ec85058/10.9.0.12)} | ret=SUCCESS |  
2023-09-13 09:06:20,740 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=01fd82bc-3401-41f8-8268-fb6cebd88e51, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:21,062 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=bbeb938c-6650-42aa-9bcd-8a902139fd46, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:21,434 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=2954d657-298b-487d-ac36-c79944fa9e9c(21767c64455d/10.9.0.11)} | ret=SUCCESS |  
2023-09-13 09:06:22,643 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-13 09:06:22,937 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=01fd82bc-3401-41f8-8268-fb6cebd88e51, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:23,064 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=bbeb938c-6650-42aa-9bcd-8a902139fd46, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:23,512 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2954d657-298b-487d-ac36-c79944fa9e9c, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:23,731 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2954d657-298b-487d-ac36-c79944fa9e9c, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:27,197 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=bbeb938c-6650-42aa-9bcd-8a902139fd46, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:27,323 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=01fd82bc-3401-41f8-8268-fb6cebd88e51, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:53,709 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2954d657-298b-487d-ac36-c79944fa9e9c, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:57,204 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=bbeb938c-6650-42aa-9bcd-8a902139fd46, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:57,278 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=01fd82bc-3401-41f8-8268-fb6cebd88e51, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:06:58,779 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=ALLOCATE_BLOCK {replication=RATIS/ONE, owner=om3, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-09-13 09:07:00,866 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=01fd82bc-3401-41f8-8268-fb6cebd88e51, term=4, command=[]} | ret=SUCCESS |  
2023-09-13 09:07:07,586 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1001,} | ret=SUCCESS |  
2023-09-13 09:07:07,665 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=SORT_DATANODE null | ret=SUCCESS |  
