2023-09-13 13:07:31,635 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 13:07:34,201 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 13:07:34,647 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-13 13:07:35,794 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=e5794f35-3f80-412e-9653-50ca56617702(ozonesecure-ha_datanode3_1.ozonesecure-ha_ozone_net/172.25.0.104)} | ret=SUCCESS |  
2023-09-13 13:07:36,981 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:37,657 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=f807de84-ef95-4c38-b545-baf60b024813(ozonesecure-ha_datanode1_1.ozonesecure-ha_ozone_net/172.25.0.102)} | ret=SUCCESS |  
2023-09-13 13:07:38,197 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=c7783e1a-0f11-4b1c-a72d-19bda864b086(ozonesecure-ha_datanode2_1.ozonesecure-ha_ozone_net/172.25.0.103)} | ret=SUCCESS |  
2023-09-13 13:07:39,621 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:40,068 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:43,352 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:43,767 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:44,566 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:49,350 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:49,898 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:51,671 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:54,498 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:57,547 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:07:59,627 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:00,776 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:01,584 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:05,552 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:07,858 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:08,536 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:14,790 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:31,053 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:35,828 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:08:45,112 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:09:00,829 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:09:05,968 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:09:14,966 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:09:30,823 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:09:35,682 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:09:44,903 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:10:00,790 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:10:05,723 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:10:14,890 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:10:30,847 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:10:35,670 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:10:44,847 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:11:00,815 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:11:05,619 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:11:14,842 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:11:30,805 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:11:35,590 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:11:44,837 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:12:00,805 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:12:05,596 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:12:14,850 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:12:30,797 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:12:35,625 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:12:44,835 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:13:00,845 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:13:05,854 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:13:14,853 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:13:30,776 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:13:35,582 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:13:44,842 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:14:00,777 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
2023-09-13 13:14:05,595 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=f807de84-ef95-4c38-b545-baf60b024813, command=[]} | ret=SUCCESS |  
2023-09-13 13:14:14,824 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e5794f35-3f80-412e-9653-50ca56617702, command=[]} | ret=SUCCESS |  
2023-09-13 13:14:30,767 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=c7783e1a-0f11-4b1c-a72d-19bda864b086, command=[]} | ret=SUCCESS |  
