2023-09-15 05:05:09,552 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-15 05:05:09,553 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-15 05:05:09,553 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-15 05:05:09,554 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-15 05:05:09,558 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-15 05:05:09,558 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-15 05:05:10,404 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-15 05:05:11,120 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=REGISTER {datanodeDetails=82a30eb8-2baa-482f-a23a-ad010ae2684d(d8a896ddd1a0/172.19.0.10)} | ret=SUCCESS |  
2023-09-15 05:05:11,451 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=REGISTER {datanodeDetails=c229b2ba-c364-4c38-879e-952c8da62282(fdd06305b829/172.19.0.3)} | ret=SUCCESS |  
2023-09-15 05:05:11,734 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-09-15 05:05:12,085 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=REGISTER {datanodeDetails=9416081d-f44a-4263-bc28-1838037e3ca1(4286ac77a13b/172.19.0.7)} | ret=SUCCESS |  
2023-09-15 05:05:13,007 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=IN_SAFE_MODE null | ret=SUCCESS |  
