2023-09-19 02:23:05,638 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-19 02:23:05,637 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-19 02:23:05,646 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-19 02:23:06,288 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-19 02:23:06,302 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-19 02:23:06,303 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-19 02:23:06,905 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-19 02:23:08,613 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-19 02:23:09,616 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-19 02:23:10,159 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=256b64de-8d88-4c46-baf6-f00697b62937(0545ec01b5e7/10.9.0.11)} | ret=SUCCESS |  
2023-09-19 02:23:10,312 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=6bd05306-0cc2-45e1-bd42-9275360be952(eef6f28b22e2/10.9.0.13)} | ret=SUCCESS |  
2023-09-19 02:23:10,619 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-19 02:23:10,926 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=055c0b11-ab44-4c0b-a905-85359267c766(bf39e34dd321/10.9.0.12)} | ret=SUCCESS |  
2023-09-19 02:23:11,622 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-19 02:23:12,083 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=256b64de-8d88-4c46-baf6-f00697b62937, term=3, command=[]} | ret=SUCCESS |  
2023-09-19 02:23:12,344 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=6bd05306-0cc2-45e1-bd42-9275360be952, term=3, command=[]} | ret=SUCCESS |  
2023-09-19 02:23:12,915 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=055c0b11-ab44-4c0b-a905-85359267c766, term=3, command=[]} | ret=SUCCESS |  
2023-09-19 02:23:14,526 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=256b64de-8d88-4c46-baf6-f00697b62937, term=3, command=[]} | ret=SUCCESS |  
2023-09-19 02:23:14,699 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=6bd05306-0cc2-45e1-bd42-9275360be952, term=3, command=[]} | ret=SUCCESS |  
2023-09-19 02:23:15,086 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=055c0b11-ab44-4c0b-a905-85359267c766, term=3, command=[]} | ret=SUCCESS |  
2023-09-19 02:23:17,160 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=256b64de-8d88-4c46-baf6-f00697b62937, term=3, command=[]} | ret=SUCCESS |  
2023-09-19 02:23:17,979 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=055c0b11-ab44-4c0b-a905-85359267c766, term=3, command=[]} | ret=SUCCESS |  
2023-09-19 02:23:44,688 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=6bd05306-0cc2-45e1-bd42-9275360be952, term=3, command=[]} | ret=SUCCESS |  
