2023-09-27 20:50:44,543 | INFO  | OMAudit | user=hadoop | ip=172.20.0.11 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol1, creationTime=1695847844524, modificationTime=1695847844524, quotaInBytes=1152921504606846976, objectID=256, updateID=1} | ret=SUCCESS |  
2023-09-27 20:50:44,602 | INFO  | OMAudit | user=hadoop | ip=172.20.0.11 | op=CREATE_BUCKET {volume=vol1, bucket=bucket1, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1695847844591, bucketEncryptionKey=null, modificationTime=1695847844591} | ret=SUCCESS |  
2023-09-27 20:50:44,716 | INFO  | OMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-27 20:50:47,823 | INFO  | OMAudit | user=hadoop | ip=172.20.0.11 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-09-27 20:50:55,905 | INFO  | OMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.4.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-09-27 20:50:58,274 | INFO  | OMAudit | user=hadoop | ip=172.20.0.9 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.4.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-09-27 20:51:02,431 | INFO  | OMAudit | user=hadoop | ip=172.20.0.9 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.4.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-09-27 20:51:06,614 | INFO  | OMAudit | user=hadoop | ip=172.20.0.9 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-27 20:51:08,449 | INFO  | OMAudit | user=hadoop | ip=172.20.0.9 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-27 20:51:08,600 | INFO  | OMAudit | user=hadoop | ip=172.20.0.9 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.4.0/file-1.4.0._COPYING_, dstKey=dir-1.4.0/file-1.4.0} | ret=SUCCESS |  
2023-09-27 20:51:27,297 | INFO  | OMAudit | user=hadoop | ip=172.20.0.9 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-09-27 20:51:34,003 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-27 20:51:35,627 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-09-27 20:51:38,145 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.0.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-09-27 20:51:40,360 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-09-27 20:51:41,822 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-09-27 20:51:41,863 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.0.0/file-1.0.0._COPYING_, dstKey=dir-1.0.0/file-1.0.0} | ret=SUCCESS |  
2023-09-27 20:51:53,401 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-09-27 20:52:05,915 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-09-27 20:52:25,398 | INFO  | OMAudit | user=hadoop | ip=172.20.0.9 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
