2023-09-28 09:39:23,193 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:39:23,205 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:39:23,205 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:39:23,236 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.12 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-28 09:39:25,048 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.6 | op=REGISTER {datanodeDetails=4496f85e-d8aa-4d52-a776-00e77793ac99{ip: 172.22.0.6, host: 1f1310f564fb, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-09-28 09:39:25,897 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=REGISTER {datanodeDetails=1f03302a-a270-479d-bd47-904b0c9b00e8{ip: 172.22.0.5, host: f8d7ccb06ea4, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-09-28 09:39:26,131 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=REGISTER {datanodeDetails=f3c29ee2-5f1e-4f23-bda2-c462d510d0da{ip: 172.22.0.9, host: 9cc7acae19b4, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-09-28 09:39:26,866 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4496f85e-d8aa-4d52-a776-00e77793ac99, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3536f245-45f4-4cda-b5b9-ffccca236e4d" uuid128 { mostSigBits: 3834518512092859610 leastSigBits: -5351965427123392947 } } type: RATIS factor: ONE datanode { uuid: "4496f85e-d8aa-4d52-a776-00e77793ac99" ipAddress: "172.22.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4496f85e-d8aa-4d52-a776-00e77793ac99" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4942410727331351890 leastSigBits: -6379910827980116839 } } cmdId: 1695893965119 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "29751aa1-1bbd-427d-817f-3709b850416b" uuid128 { mostSigBits: 2987323207087637117 leastSigBits: -9115506605888093845 } } type: RATIS factor: THREE datanode { uuid: "1f03302a-a270-479d-bd47-904b0c9b00e8" ipAddress: "172.22.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1f03302a-a270-479d-bd47-904b0c9b00e8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2234682799777925021 leastSigBits: -4807715425186283288 } } datanode { uuid: "4496f85e-d8aa-4d52-a776-00e77793ac99" ipAddress: "172.22.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4496f85e-d8aa-4d52-a776-00e77793ac99" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4942410727331351890 leastSigBits: -6379910827980116839 } } datanode { uuid: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -881967881915576541 leastSigBits: -4782043925553557286 } } cmdId: 1695893965122 priority: 0 priority: 0 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d69b40ec-f564-43da-8e0e-bbebdfc731d5" uuid128 { mostSigBits: -2982718941729373222 leastSigBits: -8210418448903753259 } } type: RATIS factor: THREE datanode { uuid: "1f03302a-a270-479d-bd47-904b0c9b00e8" ipAddress: "172.22.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1f03302a-a270-479d-bd47-904b0c9b00e8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2234682799777925021 leastSigBits: -4807715425186283288 } } datanode { uuid: "4496f85e-d8aa-4d52-a776-00e77793ac99" ipAddress: "172.22.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4496f85e-d8aa-4d52-a776-00e77793ac99" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4942410727331351890 leastSigBits: -6379910827980116839 } } datanode { uuid: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -881967881915576541 leastSigBits: -4782043925553557286 } } cmdId: 1695893965123 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2023-09-28 09:39:27,800 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=1f03302a-a270-479d-bd47-904b0c9b00e8, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0591e25d-df3b-47c4-9453-1857561e3e31" uuid128 { mostSigBits: 401350734617724868 leastSigBits: -7758830969643188687 } } type: RATIS factor: ONE datanode { uuid: "1f03302a-a270-479d-bd47-904b0c9b00e8" ipAddress: "172.22.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1f03302a-a270-479d-bd47-904b0c9b00e8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2234682799777925021 leastSigBits: -4807715425186283288 } } cmdId: 1695893965120 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "29751aa1-1bbd-427d-817f-3709b850416b" uuid128 { mostSigBits: 2987323207087637117 leastSigBits: -9115506605888093845 } } type: RATIS factor: THREE datanode { uuid: "1f03302a-a270-479d-bd47-904b0c9b00e8" ipAddress: "172.22.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1f03302a-a270-479d-bd47-904b0c9b00e8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2234682799777925021 leastSigBits: -4807715425186283288 } } datanode { uuid: "4496f85e-d8aa-4d52-a776-00e77793ac99" ipAddress: "172.22.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4496f85e-d8aa-4d52-a776-00e77793ac99" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4942410727331351890 leastSigBits: -6379910827980116839 } } datanode { uuid: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -881967881915576541 leastSigBits: -4782043925553557286 } } cmdId: 1695893965122 priority: 0 priority: 0 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d69b40ec-f564-43da-8e0e-bbebdfc731d5" uuid128 { mostSigBits: -2982718941729373222 leastSigBits: -8210418448903753259 } } type: RATIS factor: THREE datanode { uuid: "1f03302a-a270-479d-bd47-904b0c9b00e8" ipAddress: "172.22.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1f03302a-a270-479d-bd47-904b0c9b00e8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2234682799777925021 leastSigBits: -4807715425186283288 } } datanode { uuid: "4496f85e-d8aa-4d52-a776-00e77793ac99" ipAddress: "172.22.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4496f85e-d8aa-4d52-a776-00e77793ac99" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4942410727331351890 leastSigBits: -6379910827980116839 } } datanode { uuid: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -881967881915576541 leastSigBits: -4782043925553557286 } } cmdId: 1695893965123 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2023-09-28 09:39:27,999 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4496f85e-d8aa-4d52-a776-00e77793ac99, command=[]} | ret=SUCCESS |  
2023-09-28 09:39:28,220 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f3c29ee2-5f1e-4f23-bda2-c462d510d0da, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ce665035-a066-43de-b42a-4a6f21742841" uuid128 { mostSigBits: -3574081063017364514 leastSigBits: -5464473356697589695 } } type: RATIS factor: ONE datanode { uuid: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -881967881915576541 leastSigBits: -4782043925553557286 } } cmdId: 1695893965121 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "29751aa1-1bbd-427d-817f-3709b850416b" uuid128 { mostSigBits: 2987323207087637117 leastSigBits: -9115506605888093845 } } type: RATIS factor: THREE datanode { uuid: "1f03302a-a270-479d-bd47-904b0c9b00e8" ipAddress: "172.22.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1f03302a-a270-479d-bd47-904b0c9b00e8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2234682799777925021 leastSigBits: -4807715425186283288 } } datanode { uuid: "4496f85e-d8aa-4d52-a776-00e77793ac99" ipAddress: "172.22.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4496f85e-d8aa-4d52-a776-00e77793ac99" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4942410727331351890 leastSigBits: -6379910827980116839 } } datanode { uuid: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -881967881915576541 leastSigBits: -4782043925553557286 } } cmdId: 1695893965122 priority: 0 priority: 0 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d69b40ec-f564-43da-8e0e-bbebdfc731d5" uuid128 { mostSigBits: -2982718941729373222 leastSigBits: -8210418448903753259 } } type: RATIS factor: THREE datanode { uuid: "1f03302a-a270-479d-bd47-904b0c9b00e8" ipAddress: "172.22.0.5" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1f03302a-a270-479d-bd47-904b0c9b00e8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2234682799777925021 leastSigBits: -4807715425186283288 } } datanode { uuid: "4496f85e-d8aa-4d52-a776-00e77793ac99" ipAddress: "172.22.0.6" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4496f85e-d8aa-4d52-a776-00e77793ac99" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4942410727331351890 leastSigBits: -6379910827980116839 } } datanode { uuid: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" ipAddress: "172.22.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f3c29ee2-5f1e-4f23-bda2-c462d510d0da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -881967881915576541 leastSigBits: -4782043925553557286 } } cmdId: 1695893965123 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
