2023-09-28 09:23:08,825 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:23:08,825 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:23:08,824 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:23:08,825 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:23:08,825 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:23:08,824 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-28 09:23:09,524 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-28 09:23:12,111 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=REGISTER {datanodeDetails=4ec9bc0f-babc-4dfb-a553-91b3ee6827da(602a30ac710a/172.19.0.6)} | ret=SUCCESS |  
2023-09-28 09:23:12,177 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=REGISTER {datanodeDetails=ea6a9fb8-b6dd-4bed-bc3f-1e6fb076c863(00ba3f930b74/172.19.0.4)} | ret=SUCCESS |  
2023-09-28 09:23:12,180 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-09-28 09:23:12,430 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=REGISTER {datanodeDetails=791a9336-1dcb-4e87-9c90-e1ec4a85ae05(29bd153d3753/172.19.0.7)} | ret=SUCCESS |  
2023-09-28 09:23:13,523 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ea6a9fb8-b6dd-4bed-bc3f-1e6fb076c863, term=2, command=[]} | ret=SUCCESS |  
2023-09-28 09:23:14,104 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=791a9336-1dcb-4e87-9c90-e1ec4a85ae05, term=2, command=[]} | ret=SUCCESS |  
2023-09-28 09:23:15,278 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4ec9bc0f-babc-4dfb-a553-91b3ee6827da, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6141e18f-9400-48da-aa2d-5762bff1a083" uuid128 { mostSigBits: 7008130501944821978 leastSigBits: -6184190631671127933 } } type: RATIS factor: ONE datanode { uuid: "4ec9bc0f-babc-4dfb-a553-91b3ee6827da" ipAddress: "172.19.0.6" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 9864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4ec9bc0f-babc-4dfb-a553-91b3ee6827da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5677275581020655099 leastSigBits: -6533718432399480870 } } cmdId: 1695892992292 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-09-28 09:23:19,338 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:20,919 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:21,926 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:22,297 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-28 09:23:22,933 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:23,937 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:24,941 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:25,945 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:26,950 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:27,954 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:28,958 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:29,962 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:30,965 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:31,969 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:32,974 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:33,978 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:34,985 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:35,989 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:36,994 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:37,999 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:39,003 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:40,008 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:41,018 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:42,023 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-09-28 09:23:43,026 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
