2023-10-10 21:21:52,147 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-10 21:21:52,149 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-10 21:21:52,149 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-10 21:21:52,149 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-10-10 21:21:53,277 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.12 | op=REGISTER {datanodeDetails=81eea83f-6bf7-4367-9df1-582254efc270{ip: 172.21.0.12, host: 6ca05b298519, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-10-10 21:21:53,518 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.13 | op=REGISTER {datanodeDetails=23b32dd4-1ede-40f2-977b-49491524f953{ip: 172.21.0.13, host: 951ae9c46325, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-10-10 21:21:55,043 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=REGISTER {datanodeDetails=aaf6964d-7d98-41e6-ab1f-15415b40feec{ip: 172.21.0.9, host: 4e118c33a8f5, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2023-10-10 21:21:55,125 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.12 | op=SEND_HEARTBEAT {datanodeUUID=81eea83f-6bf7-4367-9df1-582254efc270, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d29ea566-29f5-4242-b417-110b1977f84e" uuid128 { mostSigBits: -3269994421215215038 leastSigBits: -5469884483048572850 } } type: RATIS factor: ONE datanode { uuid: "81eea83f-6bf7-4367-9df1-582254efc270" ipAddress: "172.21.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "81eea83f-6bf7-4367-9df1-582254efc270" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9084138408011938969 leastSigBits: -7065769435890466192 } } cmdId: 1696972913173 priority: 1 } ]} | ret=SUCCESS |  
2023-10-10 21:21:55,434 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.13 | op=SEND_HEARTBEAT {datanodeUUID=23b32dd4-1ede-40f2-977b-49491524f953, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "65ac02e1-dc83-4e26-ba1a-d92263a0297e" uuid128 { mostSigBits: 7326233862915444262 leastSigBits: -5036474491536922242 } } type: RATIS factor: ONE datanode { uuid: "23b32dd4-1ede-40f2-977b-49491524f953" ipAddress: "172.21.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "23b32dd4-1ede-40f2-977b-49491524f953" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2572450201232883954 leastSigBits: -7531345373610837677 } } cmdId: 1696972913174 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cfa95ad6-e507-4c1a-9067-711896d408bb" uuid128 { mostSigBits: -3483152957782406118 leastSigBits: -8041334259223099205 } } type: RATIS factor: THREE datanode { uuid: "23b32dd4-1ede-40f2-977b-49491524f953" ipAddress: "172.21.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "23b32dd4-1ede-40f2-977b-49491524f953" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2572450201232883954 leastSigBits: -7531345373610837677 } } datanode { uuid: "aaf6964d-7d98-41e6-ab1f-15415b40feec" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aaf6964d-7d98-41e6-ab1f-15415b40feec" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6127544983427202586 leastSigBits: -6116146398497800468 } } datanode { uuid: "81eea83f-6bf7-4367-9df1-582254efc270" ipAddress: "172.21.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "81eea83f-6bf7-4367-9df1-582254efc270" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9084138408011938969 leastSigBits: -7065769435890466192 } } cmdId: 1696972913176 priority: 0 priority: 1 priority: 0 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "dc03a675-6fc8-4197-9f9e-84114539fae5" uuid128 { mostSigBits: -2593045937118494313 leastSigBits: -6944968365647987995 } } type: RATIS factor: THREE datanode { uuid: "81eea83f-6bf7-4367-9df1-582254efc270" ipAddress: "172.21.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "81eea83f-6bf7-4367-9df1-582254efc270" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9084138408011938969 leastSigBits: -7065769435890466192 } } datanode { uuid: "aaf6964d-7d98-41e6-ab1f-15415b40feec" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aaf6964d-7d98-41e6-ab1f-15415b40feec" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6127544983427202586 leastSigBits: -6116146398497800468 } } datanode { uuid: "23b32dd4-1ede-40f2-977b-49491524f953" ipAddress: "172.21.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "23b32dd4-1ede-40f2-977b-49491524f953" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2572450201232883954 leastSigBits: -7531345373610837677 } } cmdId: 1696972913177 priority: 1 priority: 0 priority: 0 } ]} | ret=SUCCESS |  
2023-10-10 21:21:57,024 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=SEND_HEARTBEAT {datanodeUUID=aaf6964d-7d98-41e6-ab1f-15415b40feec, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ff29f399-6994-43f3-995c-47f3a798c3d8" uuid128 { mostSigBits: -60249279765920781 leastSigBits: -7395957376234765352 } } type: RATIS factor: ONE datanode { uuid: "aaf6964d-7d98-41e6-ab1f-15415b40feec" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aaf6964d-7d98-41e6-ab1f-15415b40feec" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6127544983427202586 leastSigBits: -6116146398497800468 } } cmdId: 1696972913175 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cfa95ad6-e507-4c1a-9067-711896d408bb" uuid128 { mostSigBits: -3483152957782406118 leastSigBits: -8041334259223099205 } } type: RATIS factor: THREE datanode { uuid: "23b32dd4-1ede-40f2-977b-49491524f953" ipAddress: "172.21.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "23b32dd4-1ede-40f2-977b-49491524f953" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2572450201232883954 leastSigBits: -7531345373610837677 } } datanode { uuid: "aaf6964d-7d98-41e6-ab1f-15415b40feec" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aaf6964d-7d98-41e6-ab1f-15415b40feec" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6127544983427202586 leastSigBits: -6116146398497800468 } } datanode { uuid: "81eea83f-6bf7-4367-9df1-582254efc270" ipAddress: "172.21.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "81eea83f-6bf7-4367-9df1-582254efc270" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9084138408011938969 leastSigBits: -7065769435890466192 } } cmdId: 1696972913176 priority: 0 priority: 1 priority: 0 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "dc03a675-6fc8-4197-9f9e-84114539fae5" uuid128 { mostSigBits: -2593045937118494313 leastSigBits: -6944968365647987995 } } type: RATIS factor: THREE datanode { uuid: "81eea83f-6bf7-4367-9df1-582254efc270" ipAddress: "172.21.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "81eea83f-6bf7-4367-9df1-582254efc270" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -9084138408011938969 leastSigBits: -7065769435890466192 } } datanode { uuid: "aaf6964d-7d98-41e6-ab1f-15415b40feec" ipAddress: "172.21.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aaf6964d-7d98-41e6-ab1f-15415b40feec" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6127544983427202586 leastSigBits: -6116146398497800468 } } datanode { uuid: "23b32dd4-1ede-40f2-977b-49491524f953" ipAddress: "172.21.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "23b32dd4-1ede-40f2-977b-49491524f953" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2572450201232883954 leastSigBits: -7531345373610837677 } } cmdId: 1696972913177 priority: 1 priority: 0 priority: 0 } ]} | ret=SUCCESS |  
2023-10-10 21:21:58,903 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.10 | op=LIST_PIPELINE null | ret=SUCCESS |  
