2023-10-30 15:55:16,836 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-30 15:55:16,846 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-30 15:55:16,841 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2023-10-30 15:55:18,608 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=0d74d8e7-ccb3-40be-83ad-29f8a88c0f78(19ee0796adf8/172.25.0.104)} | ret=SUCCESS |  
2023-10-30 15:55:18,652 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=52f6dfec-ade0-4b42-9e91-c6bb1f4157cc(c4a4addc445b/172.25.0.103)} | ret=SUCCESS |  
2023-10-30 15:55:19,775 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=e7b96de6-bb1b-4925-a376-81f19b5bfa2b(ozonesecure-ha_datanode1_1.ozonesecure-ha_ozone_net/172.25.0.102)} | ret=SUCCESS |  
2023-10-30 15:55:20,322 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=52f6dfec-ade0-4b42-9e91-c6bb1f4157cc, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:20,322 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0d74d8e7-ccb3-40be-83ad-29f8a88c0f78, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:21,744 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=e7b96de6-bb1b-4925-a376-81f19b5bfa2b, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:24,330 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=e7b96de6-bb1b-4925-a376-81f19b5bfa2b, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:25,267 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=e7b96de6-bb1b-4925-a376-81f19b5bfa2b, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:29,914 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=e7b96de6-bb1b-4925-a376-81f19b5bfa2b, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:30,873 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0d74d8e7-ccb3-40be-83ad-29f8a88c0f78, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:32,708 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=e7b96de6-bb1b-4925-a376-81f19b5bfa2b, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:36,912 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=52f6dfec-ade0-4b42-9e91-c6bb1f4157cc, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:37,919 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=e7b96de6-bb1b-4925-a376-81f19b5bfa2b, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:38,728 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=52f6dfec-ade0-4b42-9e91-c6bb1f4157cc, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:41,532 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0d74d8e7-ccb3-40be-83ad-29f8a88c0f78, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:47,242 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=52f6dfec-ade0-4b42-9e91-c6bb1f4157cc, command=[]} | ret=SUCCESS |  
2023-10-30 15:55:51,173 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0d74d8e7-ccb3-40be-83ad-29f8a88c0f78, command=[]} | ret=SUCCESS |  
