2023-11-02 03:06:13,232 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-11-02 03:06:14,073 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vollthsh, creationTime=1698894373868, modificationTime=1698894373868, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-11-02 03:06:15,720 | INFO  | OMAudit | user=hadoop | ip=172.24.0.14 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-11-02 03:06:20,787 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-11-02 03:06:21,320 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=READ_VOLUME {volume=vollthsh} | ret=SUCCESS |  
2023-11-02 03:06:21,451 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=CREATE_BUCKET {volume=vollthsh, bucket=default, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1698894381422, bucketEncryptionKey=null, modificationTime=1698894381422, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-11-02 03:06:26,194 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-11-02 03:06:26,838 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=READ_VOLUME {volume=vollthsh} | ret=SUCCESS |  
2023-11-02 03:06:26,943 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=CREATE_BUCKET {volume=vollthsh, bucket=ratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1698894386932, bucketEncryptionKey=null, modificationTime=1698894386932, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-11-02 03:06:31,768 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2023-11-02 03:06:32,318 | INFO  | OMAudit | user=hadoop | ip=172.24.0.2 | op=READ_VOLUME {volume=vollthsh} | ret=SUCCESS |  
