2023-11-02 02:52:26,511 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=REGISTER {datanodeDetails=110f3e26-39f7-4357-bddf-f7a773c45787{ip: 172.20.0.10, host: 6c912f2b6292, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-11-02 02:52:26,782 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=REGISTER {datanodeDetails=5c5d18f2-183d-4430-bbdd-03cc0f350991{ip: 172.20.0.11, host: d8eb04f40cbc, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-11-02 02:52:27,275 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=REGISTER {datanodeDetails=38f03686-c8ae-4799-832e-ccee50fcf3c9{ip: 172.20.0.13, host: 21afd19f20a1, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-11-02 02:52:28,376 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d27df353-1306-4370-8f39-b593ba7af590" uuid128 { mostSigBits: -3279197415528840336 leastSigBits: -8126264406519908976 } } type: RATIS factor: ONE datanode { uuid: "110f3e26-39f7-4357-bddf-f7a773c45787" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "110f3e26-39f7-4357-bddf-f7a773c45787" networkLocation: "/default-rack" uuid128 { mostSigBits: 1229269557197620055 leastSigBits: -4764817582160849017 } } cmdId: 1698893546509 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "dff7f097-e8a0-4908-b863-e179663802b9" uuid128 { mostSigBits: -2308111748770543352 leastSigBits: -5160032836514217287 } } type: RATIS factor: THREE datanode { uuid: "110f3e26-39f7-4357-bddf-f7a773c45787" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "110f3e26-39f7-4357-bddf-f7a773c45787" networkLocation: "/default-rack" uuid128 { mostSigBits: 1229269557197620055 leastSigBits: -4764817582160849017 } } datanode { uuid: "38f03686-c8ae-4799-832e-ccee50fcf3c9" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "38f03686-c8ae-4799-832e-ccee50fcf3c9" networkLocation: "/default-rack" uuid128 { mostSigBits: 4102839213054904217 leastSigBits: -8994026081879264311 } } datanode { uuid: "5c5d18f2-183d-4430-bbdd-03cc0f350991" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "5c5d18f2-183d-4430-bbdd-03cc0f350991" networkLocation: "/default-rack" uuid128 { mostSigBits: 6655503252391281712 leastSigBits: -4909763843800626799 } } cmdId: 1698893546512 } ]} | ret=SUCCESS |  
2023-11-02 02:52:28,663 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5c5d18f2-183d-4430-bbdd-03cc0f350991, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e9ce8b99-5da6-4e0c-9358-5d0e3c9e94c7" uuid128 { mostSigBits: -1599187326852510196 leastSigBits: -7829405636455656249 } } type: RATIS factor: ONE datanode { uuid: "5c5d18f2-183d-4430-bbdd-03cc0f350991" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "5c5d18f2-183d-4430-bbdd-03cc0f350991" networkLocation: "/default-rack" uuid128 { mostSigBits: 6655503252391281712 leastSigBits: -4909763843800626799 } } cmdId: 1698893546510 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "dff7f097-e8a0-4908-b863-e179663802b9" uuid128 { mostSigBits: -2308111748770543352 leastSigBits: -5160032836514217287 } } type: RATIS factor: THREE datanode { uuid: "110f3e26-39f7-4357-bddf-f7a773c45787" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "110f3e26-39f7-4357-bddf-f7a773c45787" networkLocation: "/default-rack" uuid128 { mostSigBits: 1229269557197620055 leastSigBits: -4764817582160849017 } } datanode { uuid: "38f03686-c8ae-4799-832e-ccee50fcf3c9" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "38f03686-c8ae-4799-832e-ccee50fcf3c9" networkLocation: "/default-rack" uuid128 { mostSigBits: 4102839213054904217 leastSigBits: -8994026081879264311 } } datanode { uuid: "5c5d18f2-183d-4430-bbdd-03cc0f350991" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "5c5d18f2-183d-4430-bbdd-03cc0f350991" networkLocation: "/default-rack" uuid128 { mostSigBits: 6655503252391281712 leastSigBits: -4909763843800626799 } } cmdId: 1698893546512 } ]} | ret=SUCCESS |  
2023-11-02 02:52:29,406 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=38f03686-c8ae-4799-832e-ccee50fcf3c9, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "057d29a1-b349-4132-ab52-76b29702d676" uuid128 { mostSigBits: 395518116752867634 leastSigBits: -6101684035723798922 } } type: RATIS factor: ONE datanode { uuid: "38f03686-c8ae-4799-832e-ccee50fcf3c9" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "38f03686-c8ae-4799-832e-ccee50fcf3c9" networkLocation: "/default-rack" uuid128 { mostSigBits: 4102839213054904217 leastSigBits: -8994026081879264311 } } cmdId: 1698893546511 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "dff7f097-e8a0-4908-b863-e179663802b9" uuid128 { mostSigBits: -2308111748770543352 leastSigBits: -5160032836514217287 } } type: RATIS factor: THREE datanode { uuid: "110f3e26-39f7-4357-bddf-f7a773c45787" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "110f3e26-39f7-4357-bddf-f7a773c45787" networkLocation: "/default-rack" uuid128 { mostSigBits: 1229269557197620055 leastSigBits: -4764817582160849017 } } datanode { uuid: "38f03686-c8ae-4799-832e-ccee50fcf3c9" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "38f03686-c8ae-4799-832e-ccee50fcf3c9" networkLocation: "/default-rack" uuid128 { mostSigBits: 4102839213054904217 leastSigBits: -8994026081879264311 } } datanode { uuid: "5c5d18f2-183d-4430-bbdd-03cc0f350991" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "5c5d18f2-183d-4430-bbdd-03cc0f350991" networkLocation: "/default-rack" uuid128 { mostSigBits: 6655503252391281712 leastSigBits: -4909763843800626799 } } cmdId: 1698893546512 } ]} | ret=SUCCESS |  
2023-11-02 02:52:29,415 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:29,672 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=110f3e26-39f7-4357-bddf-f7a773c45787, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:29,769 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5c5d18f2-183d-4430-bbdd-03cc0f350991, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:30,206 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=5c5d18f2-183d-4430-bbdd-03cc0f350991, command=[]} | ret=SUCCESS |  
2023-11-02 02:52:30,486 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=38f03686-c8ae-4799-832e-ccee50fcf3c9, command=[]} | ret=SUCCESS |  
