2023-11-22 01:52:20,674 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-22 01:52:20,675 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-22 01:52:20,676 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-22 01:52:21,461 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-11-22 01:52:22,275 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-11-22 01:52:22,306 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-11-22 01:52:22,401 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-11-22 01:52:22,534 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-11-22 01:52:23,055 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=716d03a8-14f7-4218-97f3-46c0bcc65e04(8226e178cea3/10.9.0.12)} | ret=SUCCESS |  
2023-11-22 01:52:23,058 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=1579394b-1e1d-48ea-8c19-13930d5a6784(79d9716b7820/10.9.0.13)} | ret=SUCCESS |  
2023-11-22 01:52:23,110 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=efdfc4cd-2620-420d-8d56-da029f1edb35(59dbd327b45d/10.9.0.11)} | ret=SUCCESS |  
2023-11-22 01:52:23,537 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-11-22 01:52:25,010 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=716d03a8-14f7-4218-97f3-46c0bcc65e04, term=3, command=[]} | ret=SUCCESS |  
2023-11-22 01:52:25,011 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=efdfc4cd-2620-420d-8d56-da029f1edb35, term=3, command=[]} | ret=SUCCESS |  
2023-11-22 01:52:25,016 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1579394b-1e1d-48ea-8c19-13930d5a6784, term=3, command=[]} | ret=SUCCESS |  
2023-11-22 01:52:26,574 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=716d03a8-14f7-4218-97f3-46c0bcc65e04, term=3, command=[]} | ret=SUCCESS |  
2023-11-22 01:52:26,656 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=efdfc4cd-2620-420d-8d56-da029f1edb35, term=3, command=[]} | ret=SUCCESS |  
2023-11-22 01:52:26,817 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1579394b-1e1d-48ea-8c19-13930d5a6784, term=3, command=[]} | ret=SUCCESS |  
2023-11-22 01:52:27,759 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1579394b-1e1d-48ea-8c19-13930d5a6784, term=3, command=[]} | ret=SUCCESS |  
2023-11-22 01:52:28,507 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=efdfc4cd-2620-420d-8d56-da029f1edb35, term=3, command=[]} | ret=SUCCESS |  
