2023-11-22 02:05:19,804 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-0466115121]} | ret=SUCCESS |  
2023-11-22 02:05:22,785 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_KEY {bucket=[bucket-ozone-test-0466115121], path=[testfile]} | ret=SUCCESS |  
2023-11-22 02:05:23,371 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_KEY {bucket=[bucket-ozone-test-0466115121], path=[dir1/dir2/file]} | ret=SUCCESS |  
2023-11-22 02:05:23,941 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=GET_BUCKET {bucket=[bucket-ozone-test-0466115121], list-type=[2], encoding-type=[url], prefix=[], delimiter=[/]} | ret=SUCCESS |  
2023-11-22 02:05:24,404 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=GET_BUCKET {bucket=[bucket-ozone-test-0466115121], list-type=[2], encoding-type=[url], prefix=[dir1/], delimiter=[/]} | ret=SUCCESS |  
2023-11-22 02:05:24,860 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=GET_BUCKET {bucket=[bucket-ozone-test-0466115121], list-type=[2], encoding-type=[url], prefix=[dir1/dir2/file], delimiter=[/]} | ret=SUCCESS |  
2023-11-22 02:05:25,384 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_KEY {bucket=[bucket-ozone-test-0466115121], path=[specialchars/a+b]} | ret=SUCCESS |  
2023-11-22 02:05:25,871 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=GET_BUCKET {bucket=[bucket-ozone-test-0466115121], list-type=[2], encoding-type=[url], prefix=[specialchars/], delimiter=[/]} | ret=SUCCESS |  
2023-11-22 02:05:26,258 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[ozone-test-vrddxlbyhk]} | ret=SUCCESS |  
2023-11-22 02:05:26,369 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_KEY {bucket=[bucket-ozone-test-0466115121], path=[README3.md]} | ret=SUCCESS |  
2023-11-22 02:05:26,457 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_KEY {bucket=[bucket-ozone-test-0466115121], path=[README4.md]} | ret=SUCCESS |  
2023-11-22 02:05:26,542 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_KEY {bucket=[bucket-ozone-test-0466115121], path=[README10.md]} | ret=SUCCESS |  
2023-11-22 02:05:26,572 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0466115121], path=[multiUpload.1.gz], uploads=[]} | ret=SUCCESS |  
2023-11-22 02:05:47,238 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0466115121], path=[multiUpload.1.gz], uploadId=[899f1efc-56a5-43da-9557-5139019a8cb6-111451748864032774], partNumber=[2]} | ret=SUCCESS |  
2023-11-22 02:05:47,435 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0466115121], path=[multiUpload.1.gz], uploadId=[899f1efc-56a5-43da-9557-5139019a8cb6-111451748864032774], partNumber=[1]} | ret=SUCCESS |  
2023-11-22 02:05:47,502 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0466115121], path=[multiUpload.1.gz], uploadId=[899f1efc-56a5-43da-9557-5139019a8cb6-111451748864032774]} | ret=SUCCESS |  
2023-11-22 02:05:47,535 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0466115121], path=[multiUpload.2.gz], uploads=[]} | ret=SUCCESS |  
2023-11-22 02:06:08,065 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0466115121], path=[multiUpload.2.gz], uploadId=[42a3ca48-2a17-4c3f-9dc9-b26c4efd4125-111451750238060553], partNumber=[2]} | ret=SUCCESS |  
2023-11-22 02:06:08,196 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0466115121], path=[multiUpload.2.gz], uploadId=[42a3ca48-2a17-4c3f-9dc9-b26c4efd4125-111451750238060553], partNumber=[1]} | ret=SUCCESS |  
2023-11-22 02:06:08,215 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0466115121], path=[multiUpload.2.gz], uploadId=[42a3ca48-2a17-4c3f-9dc9-b26c4efd4125-111451750238060553]} | ret=SUCCESS |  
2023-11-22 02:06:08,233 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[bucket-nqaykudoht]} | ret=SUCCESS |  
2023-11-22 02:06:08,258 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2023-11-22 02:06:08,291 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-0466115121]} | ret=SUCCESS |  
2023-11-22 02:06:08,313 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=DELETE_BUCKET {bucket=[ozone-test-vrddxlbyhk]} | ret=SUCCESS |  
2023-11-22 02:06:08,468 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_KEY {bucket=[bucket-ozone-test-0466115121], path=[README1.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,488 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_KEY {bucket=[bucket-ozone-test-0466115121], path=[README1.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,502 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_KEY {bucket=[bucket-ozone-test-0466115121], path=[README10.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,534 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=GET_KEY {bucket=[bucket-ozone-test-0466115121], path=[README10.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,935 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=MULTI_DELETE {bucket=[bucket-ozone-test-0466115121], delete=[]} | ret=SUCCESS |  
2023-11-22 02:06:08,949 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_KEY {bucket=[bucket-ozone-test-0466115121], path=[README10.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,967 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0466115121], path=[scxxgjsqyl], uploads=[]} | ret=SUCCESS |  
