2023-11-23 21:28:52,809 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:52,812 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:52,812 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:52,812 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:52,811 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:52,810 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:52,811 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:52,811 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:52,811 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2023-11-23 21:28:53,795 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=REGISTER {datanodeDetails=af609224-0de9-4b4c-b7d3-0c5a0481ebc8(ec067deff4dd/172.24.0.8)} | ret=SUCCESS |  
2023-11-23 21:28:53,972 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-11-23 21:28:54,247 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=REGISTER {datanodeDetails=e49eca78-523a-43e8-9d8f-c76da00f6e1a(ab7e4c765f9f/172.24.0.10)} | ret=SUCCESS |  
2023-11-23 21:28:54,436 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-11-23 21:28:54,646 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.7 | op=LIST_PIPELINE null | ret=SUCCESS |  
