2023-12-07 10:37:28,104 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-12-07 10:37:28,112 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2023-12-07 10:37:28,112 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-12-07 10:37:28,115 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-12-07 10:37:28,115 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2023-12-07 10:37:28,123 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2023-12-07 10:37:28,803 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-12-07 10:37:28,956 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=LIST_PIPELINE null | ret=SUCCESS |  
2023-12-07 10:37:29,183 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=REGISTER {datanodeDetails=3572e686-134b-4003-a15f-c4896d3866e2(ee085680d7c8/172.19.0.5)} | ret=SUCCESS |  
2023-12-07 10:37:29,660 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-12-07 10:37:29,804 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=REGISTER {datanodeDetails=6eb548c4-5ca6-4ae6-9da5-f0eb4ba24364(0938bbe2f4a4/172.19.0.8)} | ret=SUCCESS |  
2023-12-07 10:37:30,095 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-12-07 10:37:30,539 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=REGISTER {datanodeDetails=ca78902f-8f15-4bc8-bef9-fdb4341ad205(fe566885ec96/172.19.0.4)} | ret=SUCCESS |  
2023-12-07 10:37:31,099 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
