2024-01-05 19:48:13,032 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,038 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,039 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,039 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,039 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,040 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,040 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,040 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,040 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:13,041 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:48:14,044 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-05 19:48:14,618 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=REGISTER {datanodeDetails=28555e95-5cbc-4034-871d-5b7e429f9d8f(9ecb45e182eb/172.24.0.12)} | ret=SUCCESS |  
2024-01-05 19:48:14,641 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=REGISTER {datanodeDetails=fbe1f218-9577-468c-87a5-0d99e0c3726e(795c4399a14a/172.24.0.10)} | ret=SUCCESS |  
2024-01-05 19:48:14,723 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=REGISTER {datanodeDetails=404351ef-e1cb-40aa-811e-53dd071e2913(2c7b9acf830a/172.24.0.5)} | ret=SUCCESS |  
2024-01-05 19:48:14,822 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-01-05 19:48:14,986 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.7 | op=REGISTER {datanodeDetails=c4052dbf-3cff-488c-a263-86912fb7d971(db2c60afc702/172.24.0.7)} | ret=SUCCESS |  
2024-01-05 19:48:15,047 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-01-05 19:48:15,233 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=REGISTER {datanodeDetails=553e551e-6cde-4341-9cac-97e149a4b4dc(92fa20316b90/172.24.0.13)} | ret=SUCCESS |  
2024-01-05 19:48:15,305 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-05 19:48:16,307 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
