2024-01-05 19:34:52,174 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:34:52,174 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:34:52,175 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:34:52,177 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:34:52,192 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-05 19:34:53,279 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-01-05 19:34:53,298 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=REGISTER {datanodeDetails=4636a89e-11b7-4d1e-b68e-d09891d9e51c(d759bc55a9d6/172.19.0.12)} | ret=SUCCESS |  
2024-01-05 19:34:53,535 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-05 19:34:53,663 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=REGISTER {datanodeDetails=82bd5b77-e2c3-4e8d-a70c-726e1fbb7778(65fb040bd660/172.19.0.8)} | ret=SUCCESS |  
2024-01-05 19:34:53,849 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-01-05 19:34:54,836 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-05 19:34:54,872 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=REGISTER {datanodeDetails=1ae3dbfe-4d91-4b13-bbb8-30842cf5379e(c77979f6fa4c/172.19.0.6)} | ret=SUCCESS |  
