2024-01-06 04:06:43,373 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.7 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-01-06 04:06:44,266 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-06 04:06:44,291 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-06 04:06:44,548 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-06 04:06:46,007 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=REGISTER {datanodeDetails=275fa161-8563-441e-8f2a-fd6e03a02f71{ip: 172.21.0.9, host: 728312e72df6, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-01-06 04:06:46,155 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.11 | op=REGISTER {datanodeDetails=f14cc724-b599-4fb7-9522-31a03fb7d4b9{ip: 172.21.0.11, host: ff0741222f6b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-01-06 04:06:46,387 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.13 | op=REGISTER {datanodeDetails=17cb4cd0-5e3b-4776-8e0e-8a5049769679{ip: 172.21.0.13, host: 0f9408b8af3b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-01-06 04:06:46,578 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-06 04:06:46,946 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.12 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-01-06 04:06:47,200 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.12 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-01-06 04:06:47,380 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.7 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-01-06 04:06:47,671 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
