2024-01-11 17:19:47,752 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=REGISTER {datanodeDetails=f499b1a0-83a7-4f35-b1e5-c90f22023c6c{ip: 172.20.0.8, host: 8a5c4e33f660, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2024-01-11 17:19:48,083 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=REGISTER {datanodeDetails=fbb80724-f261-45dc-b578-cc2e26c0b487{ip: 172.20.0.9, host: ee836d925c57, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2024-01-11 17:19:48,166 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=REGISTER {datanodeDetails=e3711340-b3d3-4614-9a3e-03fd23834875{ip: 172.20.0.13, host: 370e543a0c43, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2024-01-11 17:19:49,655 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c307891e-c399-46fb-be04-32c988376171" uuid128 { mostSigBits: -4393392146253003013 leastSigBits: -4754619465441255055 } } type: RATIS factor: ONE datanode { uuid: "f499b1a0-83a7-4f35-b1e5-c90f22023c6c" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f499b1a0-83a7-4f35-b1e5-c90f22023c6c" networkLocation: "/default-rack" uuid128 { mostSigBits: -821430154056741067 leastSigBits: -5627871092497302420 } } cmdId: 1704993587747 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "54a336b2-ec81-46fc-87fe-9b9d6db62735" uuid128 { mostSigBits: 6098778462489757436 leastSigBits: -8647303134051948747 } } type: RATIS factor: THREE datanode { uuid: "fbb80724-f261-45dc-b578-cc2e26c0b487" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fbb80724-f261-45dc-b578-cc2e26c0b487" networkLocation: "/default-rack" uuid128 { mostSigBits: -308488719208200740 leastSigBits: -5370318057048591225 } } datanode { uuid: "e3711340-b3d3-4614-9a3e-03fd23834875" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "e3711340-b3d3-4614-9a3e-03fd23834875" networkLocation: "/default-rack" uuid128 { mostSigBits: -2057842386115803628 leastSigBits: -7332418757555173259 } } datanode { uuid: "f499b1a0-83a7-4f35-b1e5-c90f22023c6c" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f499b1a0-83a7-4f35-b1e5-c90f22023c6c" networkLocation: "/default-rack" uuid128 { mostSigBits: -821430154056741067 leastSigBits: -5627871092497302420 } } cmdId: 1704993587750 } ]} | ret=SUCCESS |  
2024-01-11 17:19:50,017 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=fbb80724-f261-45dc-b578-cc2e26c0b487, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e22b67ed-5ad0-490c-b757-fa18957c16c7" uuid128 { mostSigBits: -2149510128010770164 leastSigBits: -5235441058300815673 } } type: RATIS factor: ONE datanode { uuid: "fbb80724-f261-45dc-b578-cc2e26c0b487" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fbb80724-f261-45dc-b578-cc2e26c0b487" networkLocation: "/default-rack" uuid128 { mostSigBits: -308488719208200740 leastSigBits: -5370318057048591225 } } cmdId: 1704993587748 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "54a336b2-ec81-46fc-87fe-9b9d6db62735" uuid128 { mostSigBits: 6098778462489757436 leastSigBits: -8647303134051948747 } } type: RATIS factor: THREE datanode { uuid: "fbb80724-f261-45dc-b578-cc2e26c0b487" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fbb80724-f261-45dc-b578-cc2e26c0b487" networkLocation: "/default-rack" uuid128 { mostSigBits: -308488719208200740 leastSigBits: -5370318057048591225 } } datanode { uuid: "e3711340-b3d3-4614-9a3e-03fd23834875" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "e3711340-b3d3-4614-9a3e-03fd23834875" networkLocation: "/default-rack" uuid128 { mostSigBits: -2057842386115803628 leastSigBits: -7332418757555173259 } } datanode { uuid: "f499b1a0-83a7-4f35-b1e5-c90f22023c6c" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f499b1a0-83a7-4f35-b1e5-c90f22023c6c" networkLocation: "/default-rack" uuid128 { mostSigBits: -821430154056741067 leastSigBits: -5627871092497302420 } } cmdId: 1704993587750 } ]} | ret=SUCCESS |  
2024-01-11 17:19:50,106 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=e3711340-b3d3-4614-9a3e-03fd23834875, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6eae9acc-09d6-4a63-9c6b-8f65d454b72e" uuid128 { mostSigBits: 7975482191248771683 leastSigBits: -7175483913767962834 } } type: RATIS factor: ONE datanode { uuid: "e3711340-b3d3-4614-9a3e-03fd23834875" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "e3711340-b3d3-4614-9a3e-03fd23834875" networkLocation: "/default-rack" uuid128 { mostSigBits: -2057842386115803628 leastSigBits: -7332418757555173259 } } cmdId: 1704993587749 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "54a336b2-ec81-46fc-87fe-9b9d6db62735" uuid128 { mostSigBits: 6098778462489757436 leastSigBits: -8647303134051948747 } } type: RATIS factor: THREE datanode { uuid: "fbb80724-f261-45dc-b578-cc2e26c0b487" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fbb80724-f261-45dc-b578-cc2e26c0b487" networkLocation: "/default-rack" uuid128 { mostSigBits: -308488719208200740 leastSigBits: -5370318057048591225 } } datanode { uuid: "e3711340-b3d3-4614-9a3e-03fd23834875" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "e3711340-b3d3-4614-9a3e-03fd23834875" networkLocation: "/default-rack" uuid128 { mostSigBits: -2057842386115803628 leastSigBits: -7332418757555173259 } } datanode { uuid: "f499b1a0-83a7-4f35-b1e5-c90f22023c6c" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f499b1a0-83a7-4f35-b1e5-c90f22023c6c" networkLocation: "/default-rack" uuid128 { mostSigBits: -821430154056741067 leastSigBits: -5627871092497302420 } } cmdId: 1704993587750 } ]} | ret=SUCCESS |  
2024-01-11 17:19:50,638 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:50,722 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:51,015 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=fbb80724-f261-45dc-b578-cc2e26c0b487, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:51,079 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=fbb80724-f261-45dc-b578-cc2e26c0b487, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:51,114 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=e3711340-b3d3-4614-9a3e-03fd23834875, command=[]} | ret=SUCCESS |  
