2024-01-15 08:05:31,044 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-15 08:05:31,036 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-15 08:05:31,040 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-15 08:05:31,040 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-15 08:05:31,044 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-15 08:05:31,952 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=REGISTER {datanodeDetails=a37771e3-99e6-4c8a-8790-4db201494a1d(29838ff0d65b/172.19.0.10)} | ret=SUCCESS |  
2024-01-15 08:05:32,200 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-15 08:05:32,651 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-01-15 08:05:32,907 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.5 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-01-15 08:05:33,108 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=REGISTER {datanodeDetails=5c6f2217-65ac-4e50-bce6-916686086b1f(781a0c094e70/172.19.0.13)} | ret=SUCCESS |  
2024-01-15 08:05:33,346 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-15 08:05:33,439 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=REGISTER {datanodeDetails=10457faa-bb92-4401-8337-074b3b9f141a(f428f32ac559/172.19.0.6)} | ret=SUCCESS |  
