2024-01-17 09:54:29,087 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.11 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-01-17 09:54:30,375 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-17 09:54:30,390 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-17 09:54:30,608 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-17 09:54:32,347 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=REGISTER {datanodeDetails=7994f5e2-8b7c-4f31-abe4-77d0385c9200{ip: 172.21.0.4, host: 4de67b5023cb, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-01-17 09:54:32,348 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.5 | op=REGISTER {datanodeDetails=46c1b94c-3433-4e03-9d73-f65e2f05d5c7{ip: 172.21.0.5, host: f10caa96d3c5, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-01-17 09:54:32,429 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.8 | op=REGISTER {datanodeDetails=3220ce00-bc26-4527-a4cc-5a7202a5db4e{ip: 172.21.0.8, host: 2db58789aa4d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-01-17 09:54:33,199 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.11 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-01-17 09:54:33,941 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.10 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-17 09:54:33,942 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-01-17 09:54:34,180 | INFO  | SCMAudit | user=hadoop | ip=172.21.0.4 | op=SEND_HEARTBEAT {datanodeUUID=7994f5e2-8b7c-4f31-abe4-77d0385c9200, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3316688c-b218-42ca-9a81-ddc1dce83e02" uuid128 { mostSigBits: 3681244698914603722 leastSigBits: -7313320495168340478 } } type: RATIS factor: ONE datanode { uuid: "7994f5e2-8b7c-4f31-abe4-77d0385c9200" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "7994f5e2-8b7c-4f31-abe4-77d0385c9200" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8760897528494051121 leastSigBits: -6060587462351351296 } } cmdId: 1705485272249 priority: 1 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "65066f56-9372-418d-83cf-5465a0d602e2" uuid128 { mostSigBits: 7279628265322594701 leastSigBits: -8948841139095076126 } } type: RATIS factor: THREE datanode { uuid: "3220ce00-bc26-4527-a4cc-5a7202a5db4e" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3220ce00-bc26-4527-a4cc-5a7202a5db4e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3612113403703084327 leastSigBits: -6571778310523200690 } } datanode { uuid: "46c1b94c-3433-4e03-9d73-f65e2f05d5c7" ipAddress: "172.21.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "46c1b94c-3433-4e03-9d73-f65e2f05d5c7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5098559990104542723 leastSigBits: -7101061303056869945 } } datanode { uuid: "7994f5e2-8b7c-4f31-abe4-77d0385c9200" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "7994f5e2-8b7c-4f31-abe4-77d0385c9200" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8760897528494051121 leastSigBits: -6060587462351351296 } } cmdId: 1705485272252 priority: 0 priority: 1 priority: 0 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d97f65ed-a95c-443c-8d90-234293cac1fe" uuid128 { mostSigBits: -2774386774013885380 leastSigBits: -8246052148861025794 } } type: RATIS factor: THREE datanode { uuid: "3220ce00-bc26-4527-a4cc-5a7202a5db4e" ipAddress: "172.21.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3220ce00-bc26-4527-a4cc-5a7202a5db4e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3612113403703084327 leastSigBits: -6571778310523200690 } } datanode { uuid: "46c1b94c-3433-4e03-9d73-f65e2f05d5c7" ipAddress: "172.21.0.5" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "46c1b94c-3433-4e03-9d73-f65e2f05d5c7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5098559990104542723 leastSigBits: -7101061303056869945 } } datanode { uuid: "7994f5e2-8b7c-4f31-abe4-77d0385c9200" ipAddress: "172.21.0.4" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "7994f5e2-8b7c-4f31-abe4-77d0385c9200" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8760897528494051121 leastSigBits: -6060587462351351296 } } cmdId: 1705485272253 priority: 0 priority: 0 priority: 1 } ]} | ret=SUCCESS |  
