2024-01-20 11:54:33,291 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,298 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,298 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,298 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,298 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,298 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,298 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,291 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,293 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,293 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-01-20 11:54:33,656 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-01-20 11:54:34,305 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=REGISTER {datanodeDetails=23a6abc4-62ae-40da-ba27-36d640270c0c(b14c7653b1ba/172.24.0.5)} | ret=SUCCESS |  
2024-01-20 11:54:34,307 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=REGISTER {datanodeDetails=ba240374-aaa1-4a6e-849c-a029a0a86679(42fb69031137/172.24.0.15)} | ret=SUCCESS |  
2024-01-20 11:54:34,540 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.14 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-01-20 11:54:34,644 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=LIST_PIPELINE null | ret=SUCCESS |  
